ocs_reconfig_lat_ms,hide,avg_iteration_time_ms,std_dev_ms
0.0,0,12346.408652687072,132.68677639468558
0.0,1,12346.408652687072,132.68677639468558
0.1,0,12347.208652687073,132.68677639468532
0.1,1,12346.475203187074,132.7040015341094
1.0,0,12354.408652687072,132.68677639468558
1.0,1,12347.642472687072,132.63553580065488
5.0,0,12386.408652687072,132.68677639468558
5.0,1,12357.520644887074,132.172745099202
10.0,0,12426.408652687072,132.68677639468558
10.0,1,12373.020644887074,131.50980438725298
20.0,0,12506.408652687072,132.68677639468558
20.0,1,12409.956617487072,130.27767931945863
50.0,0,12746.408652687072,132.68677639468558
50.0,1,12536.881850787073,123.4673221738947
100.0,0,13146.408652687072,132.68677639468558
100.0,1,12777.454032287073,109.16772264106304
200.0,0,13946.408652687072,132.68677639468538
200.0,1,13364.214938787074,103.48933966124267
500.0,0,16346.408652687072,132.68677639468558
500.0,1,15164.21493878707,103.48933966124267
1000.0,0,20346.408652687074,132.68677639468558
1000.0,1,18164.21493878707,103.48933966124274
