iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
10	DP	6927252790149933	6927254209879736	1419729803	[3, 7]	131334144	54534144
10	PP	6927254265186792	6927254279828420	14641628	[3, 7, 11, 15]	33554432	33554432
10	DP	6927254280497887	6927255505180357	1224682470	[11, 15]	131338240	54534144
10	PP	6927256867369046	6927256880823855	13454809	[3, 7, 11, 15]	33554432	33554432
10	DP	6927258873454115	6927261454212230	2580758115	[11, 15]	525352960	218136576
10	PP	6927261454225190	6927261462333781	8108591	[3, 7, 11, 15]	33554432	33554432
10	DP	6927261465778086	6927261465841126	63040	[11, 15]	4	4
10	DP	6927262848168417	6927264922974071	2074805654	[3, 7]	525336576	218136576
10	DP	6927264934780910	6927264934852942	72032	[3, 7]	4	4
10	PP	6927265067922848	6927265069385849	1463001	[3, 7, 11, 15]	4	4
11	DP	6927265083686312	6927266493840716	1410154404	[3, 7]	131334144	54534144
11	PP	6927266585489334	6927266600855864	15366530	[3, 7, 11, 15]	33554432	33554432
11	DP	6927266601551548	6927267847119230	1245567682	[11, 15]	131338240	54534144
11	PP	6927269187114223	6927269201166311	14052088	[3, 7, 11, 15]	33554432	33554432
11	DP	6927271194285100	6927274003491004	2809205904	[11, 15]	525352960	218136576
11	PP	6927274003503899	6927274011402145	7898246	[3, 7, 11, 15]	33554432	33554432
11	DP	6927274014832615	6927274014903581	70966	[11, 15]	4	4
11	DP	6927275379861210	6927277395066253	2015205043	[3, 7]	525336576	218136576
11	DP	6927277406425291	6927277406447428	22137	[3, 7]	4	4
11	PP	6927277520680372	6927277522088921	1408549	[3, 7, 11, 15]	4	4
12	DP	6927277536423108	6927278939073805	1402650697	[3, 7]	131334144	54534144
12	PP	6927279041384436	6927279054943603	13559167	[3, 7, 11, 15]	33554432	33554432
12	DP	6927279055614958	6927280276245833	1220630875	[11, 15]	131338240	54534144
12	PP	6927281639843293	6927281653487290	13643997	[3, 7, 11, 15]	33554432	33554432
12	DP	6927283647520676	6927286470006438	2822485762	[11, 15]	525352960	218136576
12	PP	6927286470008486	6927286477305392	7296906	[3, 7, 11, 15]	33554432	33554432
12	DP	6927286480743639	6927286480759048	15409	[11, 15]	4	4
12	DP	6927287834792314	6927289821021622	1986229308	[3, 7]	525336576	218136576
12	DP	6927289833323375	6927289833408077	84702	[3, 7]	4	4
12	PP	6927289959993568	6927289961164937	1171369	[3, 7, 11, 15]	4	4
13	DP	6927289976049198	6927291321237591	1345188393	[3, 7]	131334144	54534144
13	PP	6927291477801353	6927291491897079	14095726	[3, 7, 11, 15]	33554432	33554432
13	DP	6927291492567442	6927292734371701	1241804259	[11, 15]	131338240	54534144
13	PP	6927294088766727	6927294102753866	13987139	[3, 7, 11, 15]	33554432	33554432
13	DP	6927296090825829	6927298609434020	2518608191	[11, 15]	525352960	218136576
13	PP	6927298609445604	6927298617852934	8407330	[3, 7, 11, 15]	33554432	33554432
13	DP	6927298621282764	6927298621358115	75351	[11, 15]	4	4
13	DP	6927299983691252	6927301998036469	2014345217	[3, 7]	525336576	218136576
13	DP	6927302009423589	6927302009500709	77120	[3, 7]	4	4
13	PP	6927302127413145	6927302128499691	1086546	[3, 7, 11, 15]	4	4
14	DP	6927302143225202	6927303554041466	1410816264	[3, 7]	131334144	54534144
14	PP	6927303652361819	6927303666357699	13995880	[3, 7, 11, 15]	33554432	33554432
