rank	iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
0	10	dp-pp	6927254188679063	6927254265256648	76577585	54534144	33554432
0	10	pp-dp	6927261571902989	6927262848095497	1276192508	33554432	525336576
0	10	dp-pp	6927264941785115	6927265067880168	126095053	4	4
0	10	pp-dp	6927265067889480	6927265083692854	15803374	4	131334144
0	11	dp-pp	6927266504831495	6927266585467366	80635871	54534144	33554432
0	11	pp-dp	6927274023922993	6927275378705828	1354782835	33554432	525336576
0	11	dp-pp	6927277415872909	6927277520679340	104806431	4	4
0	11	pp-dp	6927277520688812	6927277536424026	15735214	4	131334144
0	12	dp-pp	6927278944280264	6927279041423087	97142823	54534144	33554432
0	12	pp-dp	6927286455420621	6927287833663741	1378243120	33554432	525336576
0	12	dp-pp	6927289877836976	6927289959993093	82156117	4	4
0	12	pp-dp	6927289960002404	6927289975758290	15755886	4	131334144
0	13	dp-pp	6927291432047288	6927291477716171	45668883	54534144	33554432
0	13	pp-dp	6927298756535477	6927299980732115	1224196638	33554432	525336576
0	13	dp-pp	6927302019891564	6927302127410664	107519100	4	4
0	13	pp-dp	6927302127419881	6927302143143990	15724109	4	131334144
0	14	dp-pp	6927303606922178	6927303652378354	45456176	54534144	33554432
0	14	pp-dp	6927311097228000	6927312319401916	1222173916	33554432	525336576
0	14	dp-pp	6927314375994560	6927314434786081	58791521	4	4
0	14	pp-dp	6927314434795361	6927314450652787	15857426	4	131334144
0	15	dp-pp	6927315838944216	6927315954103659	115159443	54534144	33554432
0	15	pp-dp	6927323248607329	6927324560213725	1311606396	33554432	525336576
0	15	dp-pp	6927326658910147	6927326767514132	108603985	4	4
0	15	pp-dp	6927326767523476	6927326783328738	15805262	4	131334144
0	16	dp-pp	6927328191587423	6927328298924949	107337526	54534144	33554432
0	16	pp-dp	6927335960635588	6927337185420985	1224785397	33554432	525336576
0	16	dp-pp	6927339216739859	6927339335008977	118269118	4	4
0	16	pp-dp	6927339335018385	6927339350666625	15648240	4	131334144
0	17	dp-pp	6927340742208198	6927340886501952	144293754	54534144	33554432
0	17	pp-dp	6927348541361156	6927349763419128	1222057972	33554432	525336576
0	17	dp-pp	6927351790714645	6927351839295385	48580740	4	4
0	17	pp-dp	6927351839304760	6927351854891496	15586736	4	131334144
0	18	dp-pp	6927353269259029	6927353368360594	99101565	54534144	33554432
0	18	pp-dp	6927360589427463	6927361995107715	1405680252	33554432	525336576
0	18	dp-pp	6927364045717429	6927364070408886	24691457	4	4
0	18	pp-dp	6927364070418294	6927364085967398	15549104	4	131334144
0	19	dp-pp	6927365522241907	6927365567968328	45726421	54534144	33554432
0	19	pp-dp	6927372953804769	6927374180146054	1226341285	33554432	525336576
0	19	dp-pp	6927376233208629	6927376234003377	794748	4	4
0	19	pp-dp	6927376234032208	6927376249202978	15170770	4	4
1	10	dp-pp	6927254219349517	6927254265247455	45897938	54534144	33554432
1	10	pp-dp	6927261623669643	6927262848122355	1224452712	33554432	525336576
1	10	dp-pp	6927264953137489	6927265067882134	114744645	4	4
1	10	pp-dp	6927265067891351	6927265083540696	15649345	4	131334144
1	11	dp-pp	6927266533837497	6927266585516222	51678725	54534144	33554432
1	11	pp-dp	6927274156502948	6927275378720374	1222217426	33554432	525336576
1	11	dp-pp	6927277436929741	6927277520683094	83753353	4	4
1	11	pp-dp	6927277520692310	6927277536260442	15568132	4	131334144
1	12	dp-pp	6927278995934578	6927279041473378	45538800	54534144	33554432
1	12	pp-dp	6927286610020288	6927287833717946	1223697658	33554432	525336576
1	12	dp-pp	6927289935128242	6927289959995145	24866903	4	4
1	12	pp-dp	6927289960004425	6927289975536812	15532387	4	131334144
1	13	dp-pp	6927291407592979	6927291477752994	70160015	54534144	33554432
1	13	pp-dp	6927298600195669	6927299980754154	1380558485	33554432	525336576
1	13	dp-pp	6927302098861947	6927302127412755	28550808	4	4
1	13	pp-dp	6927302127422163	6927302143101876	15679713	4	131334144
1	14	dp-pp	6927303595313197	6927303652409344	57096147	54534144	33554432
1	14	pp-dp	6927310974804868	6927312319397635	1344592767	33554432	525336576
1	14	dp-pp	6927314434463668	6927314435180142	716474	4	4
1	14	pp-dp	6927314435201422	6927314471733352	36531930	4	131334144
1	15	dp-pp	6927315908666288	6927315954120546	45454258	54534144	33554432
1	15	pp-dp	6927323163599390	6927324560237675	1396638285	33554432	525336576
1	15	dp-pp	6927326696264229	6927326767516688	71252459	4	4
1	15	pp-dp	6927326767525808	6927326783096532	15570724	4	131334144
1	16	dp-pp	6927328222550625	6927328298970082	76419457	54534144	33554432
1	16	pp-dp	6927335828516458	6927337185404989	1356888531	33554432	525336576
1	16	dp-pp	6927339334979208	6927339335011432	32224	4	4
1	16	pp-dp	6927339335020552	6927339371568160	36547608	4	131334144
1	17	dp-pp	6927340841027920	6927340886550912	45522992	54534144	33554432
1	17	pp-dp	6927348384845421	6927349763455502	1378610081	33554432	525336576
1	17	dp-pp	6927351839265844	6927351839538514	272670	4	4
1	17	pp-dp	6927351839570418	6927351879955179	40384761	4	131334144
1	18	dp-pp	6927353322824501	6927353368406309	45581808	54534144	33554432
1	18	pp-dp	6927360736850207	6927361995153344	1258303137	33554432	525336576
1	18	dp-pp	6927364069873111	6927364070817871	944760	4	4
1	18	pp-dp	6927364070848687	6927364105237780	34389093	4	131334144
1	19	dp-pp	6927365454624427	6927365567993590	113369163	54534144	33554432
1	19	pp-dp	6927372959592081	6927374180168727	1220576646	33554432	525336576
1	19	dp-pp	6927376230208035	6927376233609832	3401797	4	4
1	19	pp-dp	6927376233619080	6927376247962931	14343851	4	4
2	10	dp-pp	6927254214574679	6927254265304969	50730290	54534144	33554432
2	10	pp-dp	6927261559510348	6927262848115188	1288604840	33554432	525336576
2	10	dp-pp	6927265067500284	6927265068282100	781816	4	4
2	10	pp-dp	6927265068302260	6927265101568156	33265896	4	131334144
2	11	dp-pp	6927266540042858	6927266585560532	45517674	54534144	33554432
2	11	pp-dp	6927274026540399	6927275378727179	1352186780	33554432	525336576
2	11	dp-pp	6927277520306802	6927277521070314	763512	4	4
2	11	pp-dp	6927277521096458	6927277557094555	35998097	4	131334144
2	12	dp-pp	6927278942824963	6927279041530059	98705096	54534144	33554432
2	12	pp-dp	6927286490640971	6927287833710159	1343069188	33554432	525336576
2	12	dp-pp	6927289959561991	6927289960434014	872023	4	4
2	12	pp-dp	6927289960470206	6927289998263165	37792959	4	131334144
2	13	dp-pp	6927291365475469	6927291477802120	112326651	54534144	33554432
2	13	pp-dp	6927298739060524	6927299980762015	1241701491	33554432	525336576
2	13	dp-pp	6927302127004344	6927302127789712	785368	4	4
2	13	pp-dp	6927302127815632	6927302167248797	39433165	4	131334144
2	14	dp-pp	6927303561243040	6927303652443019	91199979	54534144	33554432
2	14	pp-dp	6927311088354362	6927312319410267	1231055905	33554432	525336576
2	14	dp-pp	6927314338675066	6927314434785581	96110515	4	4
2	14	pp-dp	6927314434795180	6927314450601228	15806048	4	131334144
2	15	dp-pp	6927315886913627	6927315954176945	67263318	54534144	33554432
2	15	pp-dp	6927323334491419	6927324560244660	1225753241	33554432	525336576
2	15	dp-pp	6927326767088904	6927326767920192	831288	4	4
2	15	pp-dp	6927326767945664	6927326808815199	40869535	4	131334144
2	16	dp-pp	6927328253205299	6927328299030112	45824813	54534144	33554432
2	16	pp-dp	6927335827170864	6927337185425175	1358254311	33554432	525336576
2	16	dp-pp	6927339227001695	6927339335010251	108008556	4	4
2	16	pp-dp	6927339335019979	6927339350600875	15580896	4	131334144
2	17	dp-pp	6927340792450247	6927340886556802	94106555	54534144	33554432
2	17	pp-dp	6927348390619239	6927349763459049	1372839810	33554432	525336576
2	17	dp-pp	6927351788675232	6927351839296377	50621145	4	4
2	17	pp-dp	6927351839305945	6927351854856441	15550496	4	131334144
2	18	dp-pp	6927353296579256	6927353368467159	71887903	54534144	33554432
2	18	pp-dp	6927360769191417	6927361995149224	1225957807	33554432	525336576
2	18	dp-pp	6927364018771274	6927364070409785	51638511	4	4
2	18	pp-dp	6927364070419481	6927364085987066	15567585	4	131334144
2	19	dp-pp	6927365519314940	6927365568045481	48730541	54534144	33554432
2	19	pp-dp	6927372955507404	6927374180172666	1224665262	33554432	525336576
2	19	dp-pp	6927376188881215	6927376233608692	44727477	4	4
2	19	pp-dp	6927376233618196	6927376247948737	14330541	4	4
3	10	dp-pp	6927254209879736	6927254265186792	55307056	54534144	33554432
3	10	pp-dp	6927261462001612	6927262848106482	1386104870	33554432	525336576
3	10	dp-pp	6927264934800466	6927265067880621	133080155	4	4
3	10	pp-dp	6927265067890445	6927265083505532	15615087	4	131334144
3	11	dp-pp	6927266493840716	6927266585444180	91603464	54534144	33554432
3	11	pp-dp	6927274011402145	6927275378696310	1367294165	33554432	525336576
3	11	dp-pp	6927277406446987	6927277520680372	114233385	4	4
3	11	pp-dp	6927277520689748	6927277536423108	15733360	4	131334144
3	12	dp-pp	6927278939012603	6927279041384436	102371833	54534144	33554432
3	12	pp-dp	6927286477305392	6927287833695075	1356389683	33554432	525336576
3	12	dp-pp	6927289833343759	6927289959993568	126649809	4	4
3	12	pp-dp	6927289960002912	6927289976049198	16046286	4	131334144
3	13	dp-pp	6927291321237591	6927291477627254	156389663	54534144	33554432
3	13	pp-dp	6927298617852934	6927299980692531	1362839597	33554432	525336576
3	13	dp-pp	6927302009499801	6927302127413145	117913344	4	4
3	13	pp-dp	6927302127422841	6927302143225202	15802361	4	131334144
3	14	dp-pp	6927303553997235	6927303652344084	98346849	54534144	33554432
3	14	pp-dp	6927310935782466	6927312319338572	1383556106	33554432	525336576
3	14	dp-pp	6927314317863577	6927314434783837	116920260	4	4
3	14	pp-dp	6927314434793213	6927314450527338	15734125	4	131334144
3	15	dp-pp	6927315845438717	6927315954037501	108598784	54534144	33554432
3	15	pp-dp	6927323184451621	6927324560183127	1375731506	33554432	525336576
3	15	dp-pp	6927326648936274	6927326767514687	118578413	4	4
3	15	pp-dp	6927326767524062	6927326783222413	15698351	4	131334144
3	16	dp-pp	6927328171095833	6927328298893481	127797648	54534144	33554432
3	16	pp-dp	6927335813445365	6927337185355427	1371910062	33554432	525336576
3	16	dp-pp	6927339198128920	6927339335009247	136880327	4	4
3	16	pp-dp	6927339335018878	6927339350885067	15866189	4	131334144
3	17	dp-pp	6927340727122293	6927340886502899	159380606	54534144	33554432
3	17	pp-dp	6927348373097617	6927349763435524	1390337907	33554432	525336576
3	17	dp-pp	6927351718920319	6927351839295428	120375109	4	4
3	17	pp-dp	6927351839304964	6927351855226418	15921454	4	131334144
3	18	dp-pp	6927353214195872	6927353368329723	154133851	54534144	33554432
3	18	pp-dp	6927360617316460	6927361995130077	1377813617	33554432	525336576
3	18	dp-pp	6927363955682564	6927364070408635	114726071	4	4
3	18	pp-dp	6927364070417915	6927364086185338	15767423	4	131334144
3	19	dp-pp	6927365498169817	6927365567900160	69730343	54534144	33554432
3	19	pp-dp	6927372794348975	6927374180146615	1385797640	33554432	525336576
3	19	dp-pp	6927376114388104	6927376233607827	119219723	4	4
3	19	pp-dp	6927376233617203	6927376247960582	14343379	4	4
4	10	dp-pp	6927254188680287	6927254265096015	76415728	54534144	33554432
