iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	pp-dp	6927254277692188	6927254278366300	674112	33554432	131338240
10	dp-pp	6927255550826827	6927256865659129	1314832302	54534144	33554432
10	pp-dp	6927256880199502	6927258872407431	1992207929	33554432	525352960
10	dp-pp	6927261615493899	6927261615497099	3200	218136576	33554432
10	pp-dp	6927261622452997	6927261625887970	3434973	33554432	4
10	dp-pp	6927261625898274	6927261625933698	35424	4	4
11	pp-dp	6927266598918653	6927266599585532	666879	33554432	131338240
11	dp-pp	6927267848664861	6927269186163094	1337498233	54534144	33554432
11	pp-dp	6927269200197451	6927271193284556	1993087105	33554432	525352960
11	dp-pp	6927274148543660	6927274148547660	4000	218136576	33554432
11	pp-dp	6927274154817383	6927274158253540	3436157	33554432	4
11	dp-pp	6927274159221828	6927274159257636	35808	4	4
12	pp-dp	6927279054165055	6927279054835230	670175	33554432	131338240
12	dp-pp	6927280333160192	6927281638958545	1305798353	54534144	33554432
12	pp-dp	6927281652717254	6927283646542694	1993825440	33554432	525352960
12	dp-pp	6927286603945038	6927286603956430	11392	218136576	33554432
12	pp-dp	6927286609045514	6927286612490439	3444925	33554432	4
12	dp-pp	6927286612500615	6927286612535623	35008	4	4
13	pp-dp	6927291490301415	6927291490973607	672192	33554432	131338240
13	dp-pp	6927292780237584	6927294086029112	1305791528	54534144	33554432
13	pp-dp	6927294099273133	6927296089704991	1990431858	33554432	525352960
13	dp-pp	6927298587050803	6927298587062515	11712	218136576	33554432
13	pp-dp	6927298598753194	6927298602185927	3432733	33554432	4
13	dp-pp	6927298602196039	6927298759008105	156812066	4	4
14	pp-dp	6927303664591068	6927303665263931	672863	33554432	131338240
14	dp-pp	6927304891807335	6927306260024983	1368217648	54534144	33554432
14	pp-dp	6927306273865226	6927308264625160	1990759934	33554432	525352960
14	dp-pp	6927310967818005	6927310967819669	1664	218136576	33554432
14	pp-dp	6927310973197169	6927310976634510	3437341	33554432	4
14	dp-pp	6927310978407949	6927311099320554	120912605	4	4
15	pp-dp	6927315966661195	6927315967333931	672736	33554432	131338240
15	dp-pp	6927317207722238	6927318568883453	1361161215	54534144	33554432
15	pp-dp	6927318582705041	6927320574491910	1991786869	33554432	525352960
15	dp-pp	6927323152641278	6927323152652798	11520	218136576	33554432
15	pp-dp	6927323162417141	6927323165861939	3444798	33554432	4
15	dp-pp	6927323165872339	6927323336985922	171113583	4	4
16	pp-dp	6927328311153415	6927328311825926	672511	33554432	131338240
16	dp-pp	6927329558262983	6927330931244466	1372981483	54534144	33554432
16	pp-dp	6927330944202406	6927332935800486	1991598080	33554432	525352960
16	dp-pp	6927335821472130	6927335821475809	3679	218136576	33554432
16	pp-dp	6927335827133117	6927335830578842	3445725	33554432	4
16	dp-pp	6927335832365688	6927335962167817	129802129	4	4
17	pp-dp	6927340898779553	6927340899455872	676319	33554432	131338240
17	dp-pp	6927342165419333	6927343504747334	1339328001	54534144	33554432
17	pp-dp	6927343518515962	6927345511913755	1993397793	33554432	525352960
17	dp-pp	6927348378632624	6927348378635952	3328	218136576	33554432
17	pp-dp	6927348384007496	6927348387439170	3431674	33554432	4
17	dp-pp	6927348387939873	6927348543592649	155652776	4	4
18	pp-dp	6927353380732922	6927353381406681	673759	33554432	131338240
18	dp-pp	6927354632576972	6927355996606391	1364029419	54534144	33554432
18	pp-dp	6927356011146282	6927358004237843	1993091561	33554432	525352960
18	dp-pp	6927360728878136	6927360728891896	13760	218136576	33554432
18	pp-dp	6927360735642861	6927360739083112	3440251	33554432	4
18	dp-pp	6927360740503717	6927360771144085	30640368	4	4
19	pp-dp	6927365581356720	6927365582036047	679327	33554432	131338240
19	dp-pp	6927366856623202	6927368215152344	1358529142	54534144	33554432
19	pp-dp	6927368230242985	6927370223010918	1992767933	33554432	525352960
19	dp-pp	6927372950974423	6927372950988278	13855	218136576	33554432
19	pp-dp	6927372958598800	6927372962037037	3438237	33554432	4
19	dp-pp	6927372962047213	6927372962088140	40927	4	4
19	pp-dp	6927376233643398	6927376248032632	14389234	4	4
