iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
10	DP	6927252790146781	6927254188679063	1398532282	[0, 4]	131334144	54534144
10	PP	6927254265256648	6927254275702038	10445390	[0, 4, 8, 12]	33554432	33554432
10	DP	6927254279929300	6927255561016746	1281087446	[8, 12]	131338240	54534144
10	PP	6927256862858086	6927256881639299	18781213	[0, 4, 8, 12]	33554432	33554432
10	DP	6927258872402540	6927261565891386	2693488846	[8, 12]	525352960	218136576
10	PP	6927261563124978	6927261574085058	10960080	[0, 4, 8, 12]	33554432	33554432
10	DP	6927261576523562	6927261576589801	66239	[8, 12]	4	4
10	DP	6927262848187329	6927264929687802	2081500473	[0, 4]	525336576	218136576
10	DP	6927264941767387	6927264941785115	17728	[0, 4]	4	4
10	PP	6927265067904399	6927265067914095	9696	[0, 4, 8, 12]	4	4
11	DP	6927265083719348	6927266504867080	1421147732	[0, 4]	131334144	54534144
11	PP	6927266585531346	6927266595884382	10353036	[0, 4, 8, 12]	33554432	33554432
11	DP	6927266598886734	6927267883370046	1284483312	[8, 12]	131338240	54534144
11	PP	6927269183115897	6927269202801607	19685710	[0, 4, 8, 12]	33554432	33554432
11	DP	6927271193279708	6927274015569281	2822289573	[8, 12]	525352960	218136576
11	PP	6927274013333220	6927274023922993	10589773	[0, 4, 8, 12]	33554432	33554432
11	DP	6927274026397112	6927274026407096	9984	[8, 12]	4	4
11	DP	6927275379916488	6927277404791558	2024875070	[0, 4]	525336576	218136576
11	DP	6927277415847629	6927277415872909	25280	[0, 4]	4	4
11	PP	6927277520711584	6927277520721152	9568	[0, 4, 8, 12]	4	4
12	DP	6927277536424026	6927278944280264	1407856238	[0, 4]	131334144	54534144
12	PP	6927279041423087	6927279051265558	9842471	[0, 4, 8, 12]	33554432	33554432
12	DP	6927279057473462	6927280299113546	1241640084	[8, 12]	131338240	54534144
12	PP	6927281635987457	6927281654102666	18115209	[0, 4, 8, 12]	33554432	33554432
12	DP	6927283646547442	6927286446560328	2800012886	[8, 12]	525352960	218136576
12	PP	6927286443618570	6927286455420621	11802051	[0, 4, 8, 12]	33554432	33554432
12	DP	6927286457782239	6927286457792127	9888	[8, 12]	4	4
12	DP	6927287834687110	6927289866673642	2031986532	[0, 4]	525336576	218136576
12	DP	6927289877757264	6927289877836976	79712	[0, 4]	4	4
12	PP	6927289959993093	6927289960002404	9311	[0, 4, 8, 12]	4	4
13	DP	6927289975758290	6927291432047288	1456288998	[0, 4]	131334144	54534144
13	PP	6927291477908401	6927291488540723	10632322	[0, 4, 8, 12]	33554432	33554432
13	DP	6927291495612525	6927292754292330	1258679805	[8, 12]	131338240	54534144
13	PP	6927294082778185	6927294102579394	19801209	[0, 4, 8, 12]	33554432	33554432
13	DP	6927296089695401	6927298748369488	2658674087	[8, 12]	525352960	218136576
13	PP	6927298745142376	6927298756535477	11393101	[0, 4, 8, 12]	33554432	33554432
13	DP	6927298758963552	6927298758973312	9760	[8, 12]	4	4
13	DP	6927299983711128	6927302008436387	2024725259	[0, 4]	525336576	218136576
13	DP	6927302019802444	6927302019891564	89120	[0, 4]	4	4
13	PP	6927302127410664	6927302127419881	9217	[0, 4, 8, 12]	4	4
14	DP	6927302143143990	6927303606922178	1463778188	[0, 4]	131334144	54534144
14	PP	6927303652459248	6927303664209847	11750599	[0, 4, 8, 12]	33554432	33554432
14	DP	6927303666670349	6927304956093994	1289423645	[8, 12]	131338240	54534144
14	PP	6927306257901532	6927306275571242	17669710	[0, 4, 8, 12]	33554432	33554432
14	DP	6927308264610844	6927311088457900	2823847056	[8, 12]	525352960	218136576
14	PP	6927311086626970	6927311097228000	10601030	[0, 4, 8, 12]	33554432	33554432
14	DP	6927311099276386	6927311099286146	9760	[8, 12]	4	4
14	DP	6927312320217732	6927314364706872	2044489140	[0, 4]	525336576	218136576
14	DP	6927314375974688	6927314375994560	19872	[0, 4]	4	4
14	PP	6927314434881068	6927314434890636	9568	[0, 4, 8, 12]	4	4
15	DP	6927314450652787	6927315839008941	1388356154	[0, 4]	131334144	54534144
