iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254188679063	6927254265256648	76577585	54534144	33554432
10	pp-dp	6927254275702038	6927254279929300	4227262	33554432	131338240
10	dp-pp	6927255561016746	6927256862858086	1301841340	54534144	33554432
10	pp-dp	6927256881639299	6927258872402540	1990763241	33554432	525352960
10	dp-pp	6927261563124978	6927261563124978	0	218136576	33554432
10	pp-dp	6927261574085058	6927261576523562	2438504	33554432	4
10	dp-pp	6927264941785115	6927265067904399	126119284	4	4
10	pp-dp	6927265067914095	6927265083719348	15805253	4	131334144
11	dp-pp	6927266504867080	6927266585531346	80664266	54534144	33554432
11	pp-dp	6927266595884382	6927266598886734	3002352	33554432	131338240
11	dp-pp	6927267883370046	6927269183115897	1299745851	54534144	33554432
11	pp-dp	6927269202801607	6927271193279708	1990478101	33554432	525352960
11	dp-pp	6927274013333220	6927274013333220	0	218136576	33554432
11	pp-dp	6927274023922993	6927274026397112	2474119	33554432	4
11	dp-pp	6927277415872909	6927277520711584	104838675	4	4
11	pp-dp	6927277520721152	6927277536424026	15702874	4	131334144
12	dp-pp	6927278944280264	6927279041423087	97142823	54534144	33554432
12	pp-dp	6927279051265558	6927279057473462	6207904	33554432	131338240
12	dp-pp	6927280299113546	6927281635987457	1336873911	54534144	33554432
12	pp-dp	6927281654102666	6927283646547442	1992444776	33554432	525352960
12	dp-pp	6927286443618570	6927286443618570	0	218136576	33554432
12	pp-dp	6927286455420621	6927286457782239	2361618	33554432	4
12	dp-pp	6927289877836976	6927289959993093	82156117	4	4
12	pp-dp	6927289960002404	6927289975758290	15755886	4	131334144
13	dp-pp	6927291432047288	6927291477908401	45861113	54534144	33554432
13	pp-dp	6927291488540723	6927291495612525	7071802	33554432	131338240
13	dp-pp	6927292754292330	6927294082778185	1328485855	54534144	33554432
13	pp-dp	6927294102579394	6927296089695401	1987116007	33554432	525352960
13	dp-pp	6927298745142376	6927298745142376	0	218136576	33554432
13	pp-dp	6927298756535477	6927298758963552	2428075	33554432	4
13	dp-pp	6927302019891564	6927302127410664	107519100	4	4
13	pp-dp	6927302127419881	6927302143143990	15724109	4	131334144
14	dp-pp	6927303606922178	6927303652459248	45537070	54534144	33554432
14	pp-dp	6927303664209847	6927303666670349	2460502	33554432	131338240
14	dp-pp	6927304956093994	6927306257901532	1301807538	54534144	33554432
14	pp-dp	6927306275571242	6927308264610844	1989039602	33554432	525352960
14	dp-pp	6927311086626970	6927311086626970	0	218136576	33554432
14	pp-dp	6927311097228000	6927311099276386	2048386	33554432	4
14	dp-pp	6927314375994560	6927314434881068	58886508	4	4
14	pp-dp	6927314434890636	6927314450652787	15762151	4	131334144
15	dp-pp	6927315839008941	6927315954103659	115094718	54534144	33554432
15	pp-dp	6927315964654837	6927315969339595	4684758	33554432	131338240
15	dp-pp	6927317261924768	6927318566889993	1304965225	54534144	33554432
15	pp-dp	6927318583447910	6927320574495542	1991047632	33554432	525352960
15	dp-pp	6927323237604089	6927323237604089	0	218136576	33554432
15	pp-dp	6927323248607329	6927323250617833	2010504	33554432	4
15	dp-pp	6927326658910147	6927326767514132	108603985	4	4
15	pp-dp	6927326767523476	6927326783328738	15805262	4	131334144
16	dp-pp	6927328191587423	6927328299040040	107452617	54534144	33554432
16	pp-dp	6927328309937965	6927328313968897	4030932	33554432	131338240
16	dp-pp	6927329626060203	6927330928426724	1302366521	54534144	33554432
16	pp-dp	6927330946639269	6927332935800781	1989161512	33554432	525352960
16	dp-pp	6927335950792623	6927335950792623	0	218136576	33554432
16	pp-dp	6927335960635588	6927335962123117	1487529	33554432	4
16	dp-pp	6927339216739859	6927339335410309	118670450	4	4
16	pp-dp	6927339335419749	6927339351058779	15639030	4	131334144
17	dp-pp	6927340742215094	6927340886501952	144286858	54534144	33554432
17	pp-dp	6927340897728033	6927340900561871	2833838	33554432	131338240
17	dp-pp	6927342201181267	6927343502379069	1301197802	54534144	33554432
17	pp-dp	6927343520600010	6927345511908858	1991308848	33554432	525352960
17	dp-pp	6927348530976449	6927348530976449	0	218136576	33554432
17	pp-dp	6927348541361156	6927348543548003	2186847	33554432	4
17	dp-pp	6927351790714645	6927351839679025	48964380	4	4
17	pp-dp	6927351839688625	6927351855238290	15549665	4	131334144
18	dp-pp	6927353269336516	6927353368360594	99024078	54534144	33554432
18	pp-dp	6927353377977600	6927353383021853	5044253	33554432	131338240
18	dp-pp	6927354690484386	6927355993737059	1303252673	54534144	33554432
18	pp-dp	6927356012844318	6927358004238449	1991394131	33554432	525352960
18	dp-pp	6927360579357002	6927360579357002	0	218136576	33554432
18	pp-dp	6927360592484356	6927360594604276	2119920	33554432	4
18	dp-pp	6927364045717429	6927364070408886	24691457	4	4
18	pp-dp	6927364070418294	6927364085967398	15549104	4	131334144
19	dp-pp	6927365522241907	6927365568154039	45912132	54534144	33554432
19	pp-dp	6927365578930879	6927365584664400	5733521	33554432	131338240
19	dp-pp	6927366912030230	6927368211991454	1299961224	54534144	33554432
19	pp-dp	6927368230506137	6927370223014760	1992508623	33554432	525352960
19	dp-pp	6927372942365211	6927372942365211	0	218136576	33554432
19	pp-dp	6927372953804769	6927372956220728	2415959	33554432	4
19	dp-pp	6927376233208629	6927376234003377	794748	4	4
19	pp-dp	6927376234032208	6927376248522012	14489804	4	4
