Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
12078534306,12593800540,515266234,0,515266234,NCCL:ncclCommInitRankConfig,1114945,1114945,0,0,2,,:2,NCCL:ncclCommInitRankConfig
12079270269,12592982779,513712510,0,513712510,NCCL:ncclCommInitRankConfig,1114948,1114948,0,0,4,,:4,NCCL:ncclCommInitRankConfig
12086400352,12593276768,506876416,0,506876416,NCCL:ncclCommInitRankConfig,1114946,1114946,0,0,6,,:6,NCCL:ncclCommInitRankConfig
12093892606,12596271597,502378991,0,502378991,NCCL:ncclCommInitRankConfig,1114947,1114947,0,0,8,,:8,NCCL:ncclCommInitRankConfig
12602029719,12814055859,212026140,0,212026140,NCCL:ncclBroadcast,1114948,1114948,0,0,9,,:9,NCCL:ncclBroadcast
12603310285,12811034919,207724634,0,207724634,NCCL:ncclBroadcast,1114945,1114945,0,0,10,,:10,NCCL:ncclBroadcast
12603894274,12812072104,208177830,0,208177830,NCCL:ncclBroadcast,1114946,1114946,0,0,11,,:11,NCCL:ncclBroadcast
12603925253,12812565017,208639764,0,208639764,NCCL:ncclBroadcast,1114947,1114947,0,0,12,,:12,NCCL:ncclBroadcast
22462729978,40867390852,18404660874,4776008785,13628652089,:pp_fw_bw,1114947,1114947,0,1087,15,,:15,:pp_fw_bw
22490524942,23065148065,574623123,0,574623123,NCCL:ncclCommInitRankConfig,1114947,1114947,1,0,16,15,:15:16,--NCCL:ncclCommInitRankConfig
22573175151,40840076157,18266901006,4894961313,13371939693,:pp_fw_bw,1114948,1114948,0,1087,17,,:17,:pp_fw_bw
22585011083,23208579237,623568154,0,623568154,NCCL:ncclCommInitRankConfig,1114948,1114948,1,0,18,17,:17:18,--NCCL:ncclCommInitRankConfig
22790679051,40838713773,18048034722,4430860965,13617173757,:pp_fw_bw,1114946,1114946,0,1087,19,,:19,:pp_fw_bw
22804076591,23068760609,264684018,0,264684018,NCCL:ncclCommInitRankConfig,1114946,1114946,1,0,20,19,:19:20,--NCCL:ncclCommInitRankConfig
23065308235,23109562467,44254232,0,44254232,NCCL:ncclAllGather,1114947,1114947,1,0,21,15,:15:21,--NCCL:ncclAllGather
23068877575,23111093497,42215922,0,42215922,NCCL:ncclAllGather,1114946,1114946,1,0,22,19,:19:22,--NCCL:ncclAllGather
23208727684,23250399093,41671409,0,41671409,NCCL:ncclAllGather,1114948,1114948,1,0,25,17,:17:25,--NCCL:ncclAllGather
23273718685,40858032210,17584313525,4641479165,12942834360,:pp_fw_bw,1114945,1114945,0,1087,27,,:27,:pp_fw_bw
23288732359,23642041798,353309439,0,353309439,NCCL:ncclCommInitRankConfig,1114945,1114945,1,0,28,27,:27:28,--NCCL:ncclCommInitRankConfig
23642174735,23686362379,44187644,0,44187644,NCCL:ncclAllGather,1114945,1114945,1,0,29,27,:27:29,--NCCL:ncclAllGather
23873487169,24011568408,138081239,0,138081239,NCCL:ncclCommInitRankConfig,1114945,1114945,1,0,31,27,:27:31,--NCCL:ncclCommInitRankConfig
23873707575,24011550894,137843319,0,137843319,NCCL:ncclCommInitRankConfig,1114946,1114946,1,0,32,19,:19:32,--NCCL:ncclCommInitRankConfig
23873762191,24011636911,137874720,0,137874720,NCCL:ncclCommInitRankConfig,1114947,1114947,1,0,33,15,:15:33,--NCCL:ncclCommInitRankConfig
