Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
23642174735,23686362379,44187644,0,44187644,NCCL:ncclAllGather,1114945,1114945,1,0,29,27.0,:27:29,--NCCL:ncclAllGather
24056792245,24056930372,138127,0,138127,NCCL:ncclAllGather,1114945,1114945,1,0,50,27.0,:27:50,--NCCL:ncclAllGather
24505619750,24505674766,55016,0,55016,NCCL:ncclAllGather,1114945,1114945,1,0,99,27.0,:27:99,--NCCL:ncclAllGather
24522703807,24522760276,56469,0,56469,NCCL:ncclAllGather,1114945,1114945,1,0,160,27.0,:27:160,--NCCL:ncclAllGather
24536099343,24536152987,53644,0,53644,NCCL:ncclAllGather,1114945,1114945,1,0,227,27.0,:27:227,--NCCL:ncclAllGather
24550092705,24550155447,62742,0,62742,NCCL:ncclAllGather,1114945,1114945,1,0,296,27.0,:27:296,--NCCL:ncclAllGather
24563983800,24564041762,57962,0,57962,NCCL:ncclAllGather,1114945,1114945,1,0,364,27.0,:27:364,--NCCL:ncclAllGather
24577623227,24577668765,45538,0,45538,NCCL:ncclAllGather,1114945,1114945,1,0,433,27.0,:27:433,--NCCL:ncclAllGather
24591083579,24591137844,54265,0,54265,NCCL:ncclAllGather,1114945,1114945,1,0,498,27.0,:27:498,--NCCL:ncclAllGather
24612723092,24612803969,80877,0,80877,NCCL:ncclAllGather,1114945,1114945,1,0,582,27.0,:27:582,--NCCL:ncclAllGather
24631524399,24631603081,78682,0,78682,NCCL:ncclAllGather,1114945,1114945,1,0,638,27.0,:27:638,--NCCL:ncclAllGather
24650417273,24650475075,57802,0,57802,NCCL:ncclAllGather,1114945,1114945,1,0,690,27.0,:27:690,--NCCL:ncclAllGather
24667028706,24667064255,35549,0,35549,NCCL:ncclAllGather,1114945,1114945,1,0,737,27.0,:27:737,--NCCL:ncclAllGather
24680642725,24680695677,52952,0,52952,NCCL:ncclAllGather,1114945,1114945,1,0,783,27.0,:27:783,--NCCL:ncclAllGather
24695532981,24695584019,51038,0,51038,NCCL:ncclAllGather,1114945,1114945,1,0,831,27.0,:27:831,--NCCL:ncclAllGather
24709953298,24709993887,40589,0,40589,NCCL:ncclAllGather,1114945,1114945,1,0,853,27.0,:27:853,--NCCL:ncclAllGather
24724222373,24724264264,41891,0,41891,NCCL:ncclAllGather,1114945,1114945,1,0,866,27.0,:27:866,--NCCL:ncclAllGather
25980865771,25980940265,74494,0,74494,NCCL:ncclSend,1114945,1114945,1,0,900,27.0,:27:900,--NCCL:ncclSend
26027006280,26027012001,5721,0,5721,NCCL:ncclSend,1114945,1114945,1,0,933,27.0,:27:933,--NCCL:ncclSend
28272433758,28272448166,14408,0,14408,NCCL:ncclSend,1114945,1114945,1,0,1717,27.0,:27:1717,--NCCL:ncclSend
28581736794,28581744318,7524,0,7524,NCCL:ncclSend,1114945,1114945,1,0,2448,27.0,:27:2448,--NCCL:ncclSend
28581845684,28581848139,2455,0,2455,NCCL:ncclRecv,1114945,1114945,1,0,2454,27.0,:27:2454,--NCCL:ncclRecv
32798915698,32798921760,6062,0,6062,NCCL:ncclSend,1114945,1114945,1,0,4503,27.0,:27:4503,--NCCL:ncclSend
32798966126,32798967508,1382,0,1382,NCCL:ncclRecv,1114945,1114945,1,0,4506,27.0,:27:4506,--NCCL:ncclRecv
34412791248,34412797500,6252,0,6252,NCCL:ncclSend,1114945,1114945,1,0,6513,27.0,:27:6513,--NCCL:ncclSend
34412848308,34412849270,962,0,962,NCCL:ncclRecv,1114945,1114945,1,0,6516,27.0,:27:6516,--NCCL:ncclRecv
35972622259,35972631406,9147,0,9147,NCCL:ncclRecv,1114945,1114945,1,0,7703,27.0,:27:7703,--NCCL:ncclRecv
40723421270,40723550710,129440,0,129440,NCCL:ncclReduceScatter,1114945,1114945,1,0,8898,27.0,:27:8898,--NCCL:ncclReduceScatter
40731331301,40731380106,48805,0,48805,NCCL:ncclReduceScatter,1114945,1114945,1,0,8909,27.0,:27:8909,--NCCL:ncclReduceScatter
40739546693,40739584867,38174,0,38174,NCCL:ncclReduceScatter,1114945,1114945,1,0,8925,27.0,:27:8925,--NCCL:ncclReduceScatter
40742755547,40742795294,39747,0,39747,NCCL:ncclReduceScatter,1114945,1114945,1,0,8935,27.0,:27:8935,--NCCL:ncclReduceScatter
40746935307,40746991786,56479,0,56479,NCCL:ncclReduceScatter,1114945,1114945,1,0,8948,27.0,:27:8948,--NCCL:ncclReduceScatter
40750897457,40750942133,44676,0,44676,NCCL:ncclReduceScatter,1114945,1114945,1,0,8960,27.0,:27:8960,--NCCL:ncclReduceScatter
40765328525,40765401125,72600,0,72600,NCCL:ncclReduceScatter,1114945,1114945,1,0,8975,27.0,:27:8975,--NCCL:ncclReduceScatter
40776409086,40776472478,63392,0,63392,NCCL:ncclReduceScatter,1114945,1114945,1,0,8990,27.0,:27:8990,--NCCL:ncclReduceScatter
40781174549,40781220387,45838,0,45838,NCCL:ncclReduceScatter,1114945,1114945,1,0,9004,27.0,:27:9004,--NCCL:ncclReduceScatter
40786208400,40786266182,57782,0,57782,NCCL:ncclReduceScatter,1114945,1114945,1,0,9015,27.0,:27:9015,--NCCL:ncclReduceScatter
40799473995,40799520204,46209,0,46209,NCCL:ncclReduceScatter,1114945,1114945,1,0,9032,27.0,:27:9032,--NCCL:ncclReduceScatter
40804658989,40804698185,39196,0,39196,NCCL:ncclReduceScatter,1114945,1114945,1,0,9041,27.0,:27:9041,--NCCL:ncclReduceScatter
40809892837,40809949206,56369,0,56369,NCCL:ncclReduceScatter,1114945,1114945,1,0,9053,27.0,:27:9053,--NCCL:ncclReduceScatter
40816393023,40816436697,43674,0,43674,NCCL:ncclReduceScatter,1114945,1114945,1,0,9063,27.0,:27:9063,--NCCL:ncclReduceScatter
40822716057,40822773227,57170,0,57170,NCCL:ncclReduceScatter,1114945,1114945,1,0,9071,27.0,:27:9071,--NCCL:ncclReduceScatter
40827134478,40827182030,47552,0,47552,NCCL:ncclReduceScatter,1114945,1114945,1,0,9076,27.0,:27:9076,--NCCL:ncclReduceScatter
40831682160,40831725123,42963,0,42963,NCCL:ncclReduceScatter,1114945,1114945,1,0,9079,27.0,:27:9079,--NCCL:ncclReduceScatter
44043647903,44043717618,69715,0,69715,NCCL:ncclAllGather,1114945,1114945,1,0,9160,9155.0,:9155:9160,--NCCL:ncclAllGather
44047057154,44047109816,52662,0,52662,NCCL:ncclAllGather,1114945,1114945,1,0,9170,9155.0,:9155:9170,--NCCL:ncclAllGather
44066080370,44066133612,53242,0,53242,NCCL:ncclAllGather,1114945,1114945,1,0,9247,9155.0,:9155:9247,--NCCL:ncclAllGather
44083766080,44083830013,63933,0,63933,NCCL:ncclAllGather,1114945,1114945,1,0,9313,9155.0,:9155:9313,--NCCL:ncclAllGather
44101340475,44101388457,47982,0,47982,NCCL:ncclAllGather,1114945,1114945,1,0,9380,9155.0,:9155:9380,--NCCL:ncclAllGather
44114049774,44114091756,41982,0,41982,NCCL:ncclAllGather,1114945,1114945,1,0,9432,9155.0,:9155:9432,--NCCL:ncclAllGather
44126377506,44126424658,47152,0,47152,NCCL:ncclAllGather,1114945,1114945,1,0,9481,9155.0,:9155:9481,--NCCL:ncclAllGather
44138562112,44138600506,38394,0,38394,NCCL:ncclAllGather,1114945,1114945,1,0,9533,9155.0,:9155:9533,--NCCL:ncclAllGather
44150873211,44150907207,33996,0,33996,NCCL:ncclAllGather,1114945,1114945,1,0,9579,9155.0,:9155:9579,--NCCL:ncclAllGather
44163201484,44163237915,36431,0,36431,NCCL:ncclAllGather,1114945,1114945,1,0,9631,9155.0,:9155:9631,--NCCL:ncclAllGather
44175426939,44175465003,38064,0,38064,NCCL:ncclAllGather,1114945,1114945,1,0,9677,9155.0,:9155:9677,--NCCL:ncclAllGather
44187417499,44187452938,35439,0,35439,NCCL:ncclAllGather,1114945,1114945,1,0,9729,9155.0,:9155:9729,--NCCL:ncclAllGather
44199589891,44199632112,42221,0,42221,NCCL:ncclAllGather,1114945,1114945,1,0,9781,9155.0,:9155:9781,--NCCL:ncclAllGather
44211802440,44211851936,49496,0,49496,NCCL:ncclAllGather,1114945,1114945,1,0,9827,9155.0,:9155:9827,--NCCL:ncclAllGather
44224434120,44224481682,47562,0,47562,NCCL:ncclAllGather,1114945,1114945,1,0,9878,9155.0,:9155:9878,--NCCL:ncclAllGather
44236870442,44236913164,42722,0,42722,NCCL:ncclAllGather,1114945,1114945,1,0,9926,9155.0,:9155:9926,--NCCL:ncclAllGather
44251505384,44251547305,41921,0,41921,NCCL:ncclAllGather,1114945,1114945,1,0,10002,9155.0,:9155:10002,--NCCL:ncclAllGather
44265815268,44265820618,5350,0,5350,NCCL:ncclSend,1114945,1114945,1,0,10059,9155.0,:9155:10059,--NCCL:ncclSend
45003014855,45003019394,4539,0,4539,NCCL:ncclSend,1114945,1114945,1,0,10775,9155.0,:9155:10775,--NCCL:ncclSend
45003068428,45003069611,1183,0,1183,NCCL:ncclRecv,1114945,1114945,1,0,10781,9155.0,:9155:10781,--NCCL:ncclRecv
49341990427,49341996569,6142,0,6142,NCCL:ncclSend,1114945,1114945,1,0,12755,9155.0,:9155:12755,--NCCL:ncclSend
49342040604,49342041466,862,0,862,NCCL:ncclRecv,1114945,1114945,1,0,12761,9155.0,:9155:12761,--NCCL:ncclRecv
51323400526,51323407429,6903,0,6903,NCCL:ncclSend,1114945,1114945,1,0,14743,9155.0,:9155:14743,--NCCL:ncclSend
51323457977,51323459380,1403,0,1403,NCCL:ncclRecv,1114945,1114945,1,0,14750,9155.0,:9155:14750,--NCCL:ncclRecv
52880789055,52880795647,6592,0,6592,NCCL:ncclRecv,1114945,1114945,1,0,15965,9155.0,:9155:15965,--NCCL:ncclRecv
57608401271,57608507446,106175,0,106175,NCCL:ncclReduceScatter,1114945,1114945,1,0,17145,9155.0,:9155:17145,--NCCL:ncclReduceScatter
57610433630,57610469179,35549,0,35549,NCCL:ncclReduceScatter,1114945,1114945,1,0,17156,9155.0,:9155:17156,--NCCL:ncclReduceScatter
57612183773,57612215485,31712,0,31712,NCCL:ncclReduceScatter,1114945,1114945,1,0,17168,9155.0,:9155:17168,--NCCL:ncclReduceScatter
57613896675,57613927254,30579,0,30579,NCCL:ncclReduceScatter,1114945,1114945,1,0,17180,9155.0,:9155:17180,--NCCL:ncclReduceScatter
57615452513,57615482420,29907,0,29907,NCCL:ncclReduceScatter,1114945,1114945,1,0,17190,9155.0,:9155:17190,--NCCL:ncclReduceScatter
57616996728,57617026034,29306,0,29306,NCCL:ncclReduceScatter,1114945,1114945,1,0,17202,9155.0,:9155:17202,--NCCL:ncclReduceScatter
57618504473,57618533899,29426,0,29426,NCCL:ncclReduceScatter,1114945,1114945,1,0,17213,9155.0,:9155:17213,--NCCL:ncclReduceScatter
57626340130,57626385338,45208,0,45208,NCCL:ncclReduceScatter,1114945,1114945,1,0,17228,9155.0,:9155:17228,--NCCL:ncclReduceScatter
57627944231,57627974139,29908,0,29908,NCCL:ncclReduceScatter,1114945,1114945,1,0,17241,9155.0,:9155:17241,--NCCL:ncclReduceScatter
57629560987,57629588761,27774,0,27774,NCCL:ncclReduceScatter,1114945,1114945,1,0,17253,9155.0,:9155:17253,--NCCL:ncclReduceScatter
57631158395,57631186219,27824,0,27824,NCCL:ncclReduceScatter,1114945,1114945,1,0,17264,9155.0,:9155:17264,--NCCL:ncclReduceScatter
57632745473,57632775090,29617,0,29617,NCCL:ncclReduceScatter,1114945,1114945,1,0,17275,9155.0,:9155:17275,--NCCL:ncclReduceScatter
57634368741,57634398078,29337,0,29337,NCCL:ncclReduceScatter,1114945,1114945,1,0,17287,9155.0,:9155:17287,--NCCL:ncclReduceScatter
57635900352,57635928757,28405,0,28405,NCCL:ncclReduceScatter,1114945,1114945,1,0,17299,9155.0,:9155:17299,--NCCL:ncclReduceScatter
57637794865,57637821556,26691,0,26691,NCCL:ncclReduceScatter,1114945,1114945,1,0,17309,9155.0,:9155:17309,--NCCL:ncclReduceScatter
57639195793,57639223116,27323,0,27323,NCCL:ncclReduceScatter,1114945,1114945,1,0,17320,9155.0,:9155:17320,--NCCL:ncclReduceScatter
57640905538,57640935707,30169,0,30169,NCCL:ncclReduceScatter,1114945,1114945,1,0,17332,9155.0,:9155:17332,--NCCL:ncclReduceScatter
60443280028,60443322180,42152,0,42152,NCCL:ncclAllGather,1114945,1114945,1,0,17357,17353.0,:17353:17357,--NCCL:ncclAllGather
60445762998,60445800251,37253,0,37253,NCCL:ncclAllGather,1114945,1114945,1,0,17369,17353.0,:17353:17369,--NCCL:ncclAllGather
60459670785,60459707276,36491,0,36491,NCCL:ncclAllGather,1114945,1114945,1,0,17408,17353.0,:17353:17408,--NCCL:ncclAllGather
60471975262,60472015770,40508,0,40508,NCCL:ncclAllGather,1114945,1114945,1,0,17447,17353.0,:17353:17447,--NCCL:ncclAllGather
60483916517,60483984508,67991,0,67991,NCCL:ncclAllGather,1114945,1114945,1,0,17486,17353.0,:17353:17486,--NCCL:ncclAllGather
60495888551,60495925673,37122,0,37122,NCCL:ncclAllGather,1114945,1114945,1,0,17524,17353.0,:17353:17524,--NCCL:ncclAllGather
60508059110,60508093616,34506,0,34506,NCCL:ncclAllGather,1114945,1114945,1,0,17571,17353.0,:17353:17571,--NCCL:ncclAllGather
60520130706,60520180432,49726,0,49726,NCCL:ncclAllGather,1114945,1114945,1,0,17623,17353.0,:17353:17623,--NCCL:ncclAllGather
60532533974,60532568601,34627,0,34627,NCCL:ncclAllGather,1114945,1114945,1,0,17672,17353.0,:17353:17672,--NCCL:ncclAllGather
60545022648,60545068326,45678,0,45678,NCCL:ncclAllGather,1114945,1114945,1,0,17725,17353.0,:17353:17725,--NCCL:ncclAllGather
60557495701,60557539635,43934,0,43934,NCCL:ncclAllGather,1114945,1114945,1,0,17777,17353.0,:17353:17777,--NCCL:ncclAllGather
60569865343,60569898528,33185,0,33185,NCCL:ncclAllGather,1114945,1114945,1,0,17829,17353.0,:17353:17829,--NCCL:ncclAllGather
60582297367,60582346863,49496,0,49496,NCCL:ncclAllGather,1114945,1114945,1,0,17881,17353.0,:17353:17881,--NCCL:ncclAllGather
60594802312,60594844964,42652,0,42652,NCCL:ncclAllGather,1114945,1114945,1,0,17933,17353.0,:17353:17933,--NCCL:ncclAllGather
