Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree,Parallelism
25433534966,25433561397,26431,0,26431,NCCL:ncclRecv,563290,563290,1,0,33,18.0,:18:33,--NCCL:ncclRecv,PP
25511159112,25511168560,9448,0,9448,NCCL:ncclRecv,563290,563290,1,0,49,18.0,:18:49,--NCCL:ncclRecv,PP
25920838037,25979175658,58337621,0,58337621,NCCL:ncclAllGather,563290,563290,1,0,60,18.0,:18:60,--NCCL:ncclAllGather,DP
26169699540,26169775427,75887,0,75887,NCCL:ncclAllGather,563290,563290,1,0,66,18.0,:18:66,--NCCL:ncclAllGather,DP
27183170919,27183220325,49406,0,49406,NCCL:ncclAllGather,563290,563290,1,0,119,18.0,:18:119,--NCCL:ncclAllGather,DP
27200352097,27200402163,50066,0,50066,NCCL:ncclAllGather,563290,563290,1,0,170,18.0,:18:170,--NCCL:ncclAllGather,DP
27213432311,27213479371,47060,0,47060,NCCL:ncclAllGather,563290,563290,1,0,224,18.0,:18:224,--NCCL:ncclAllGather,DP
27226894713,27226941213,46500,0,46500,NCCL:ncclAllGather,563290,563290,1,0,279,18.0,:18:279,--NCCL:ncclAllGather,DP
27240021667,27240079639,57972,0,57972,NCCL:ncclAllGather,563290,563290,1,0,329,18.0,:18:329,--NCCL:ncclAllGather,DP
27253398303,27253449853,51550,0,51550,NCCL:ncclAllGather,563290,563290,1,0,382,18.0,:18:382,--NCCL:ncclAllGather,DP
27267591077,27267658607,67530,0,67530,NCCL:ncclAllGather,563290,563290,1,0,440,18.0,:18:440,--NCCL:ncclAllGather,DP
27283043744,27283112788,69044,0,69044,NCCL:ncclAllGather,563290,563290,1,0,506,18.0,:18:506,--NCCL:ncclAllGather,DP
27299047547,27299124496,76949,0,76949,NCCL:ncclAllGather,563290,563290,1,0,566,18.0,:18:566,--NCCL:ncclAllGather,DP
27315131344,27315200348,69004,0,69004,NCCL:ncclAllGather,563290,563290,1,0,632,18.0,:18:632,--NCCL:ncclAllGather,DP
27330933317,27330989816,56499,0,56499,NCCL:ncclAllGather,563290,563290,1,0,693,18.0,:18:693,--NCCL:ncclAllGather,DP
27340832194,27340866961,34767,0,34767,NCCL:ncclAllGather,563290,563290,1,0,744,18.0,:18:744,--NCCL:ncclAllGather,DP
27349801084,27349835470,34386,0,34386,NCCL:ncclAllGather,563290,563290,1,0,787,18.0,:18:787,--NCCL:ncclAllGather,DP
27363892641,27363939582,46941,0,46941,NCCL:ncclAllGather,563290,563290,1,0,831,18.0,:18:831,--NCCL:ncclAllGather,DP
27395653520,27395712153,58633,0,58633,NCCL:ncclAllGather,563290,563290,1,0,869,18.0,:18:869,--NCCL:ncclAllGather,DP
27750762024,27750822842,60818,0,60818,NCCL:ncclRecv,563290,563290,1,0,935,18.0,:18:935,--NCCL:ncclRecv,PP
30160681874,30160688657,6783,0,6783,NCCL:ncclSend,563290,563290,1,0,2909,18.0,:18:2909,--NCCL:ncclSend,PP
30160750336,30160751429,1093,0,1093,NCCL:ncclRecv,563290,563290,1,0,2920,18.0,:18:2920,--NCCL:ncclRecv,PP
32156018212,32156026458,8246,0,8246,NCCL:ncclSend,563290,563290,1,0,4896,18.0,:18:4896,--NCCL:ncclSend,PP
32156101313,32156103838,2525,0,2525,NCCL:ncclRecv,563290,563290,1,0,4902,18.0,:18:4902,--NCCL:ncclRecv,PP
34214094838,34214099196,4358,0,4358,NCCL:ncclSend,563290,563290,1,0,6881,18.0,:18:6881,--NCCL:ncclSend,PP
34214147068,34214148020,952,0,952,NCCL:ncclRecv,563290,563290,1,0,6884,18.0,:18:6884,--NCCL:ncclRecv,PP
36201416048,36201490552,74504,0,74504,NCCL:ncclReduceScatter,563290,563290,1,0,8871,18.0,:18:8871,--NCCL:ncclReduceScatter,DP
36203937340,36203977047,39707,0,39707,NCCL:ncclReduceScatter,563290,563290,1,0,8883,18.0,:18:8883,--NCCL:ncclReduceScatter,DP
36207599647,36207635566,35919,0,35919,NCCL:ncclReduceScatter,563290,563290,1,0,8895,18.0,:18:8895,--NCCL:ncclReduceScatter,DP
36209574352,36209619930,45578,0,45578,NCCL:ncclReduceScatter,563290,563290,1,0,8907,18.0,:18:8907,--NCCL:ncclReduceScatter,DP
36211519791,36211559277,39486,0,39486,NCCL:ncclReduceScatter,563290,563290,1,0,8919,18.0,:18:8919,--NCCL:ncclReduceScatter,DP
36213650438,36213682049,31611,0,31611,NCCL:ncclReduceScatter,563290,563290,1,0,8931,18.0,:18:8931,--NCCL:ncclReduceScatter,DP
36217565432,36217602785,37353,0,37353,NCCL:ncclReduceScatter,563290,563290,1,0,8943,18.0,:18:8943,--NCCL:ncclReduceScatter,DP
36219281087,36219316927,35840,0,35840,NCCL:ncclReduceScatter,563290,563290,1,0,8954,18.0,:18:8954,--NCCL:ncclReduceScatter,DP
36221105613,36221140751,35138,0,35138,NCCL:ncclReduceScatter,563290,563290,1,0,8966,18.0,:18:8966,--NCCL:ncclReduceScatter,DP
36223276397,36223320242,43845,0,43845,NCCL:ncclReduceScatter,563290,563290,1,0,8978,18.0,:18:8978,--NCCL:ncclReduceScatter,DP
36226916901,36226954234,37333,0,37333,NCCL:ncclReduceScatter,563290,563290,1,0,8991,18.0,:18:8991,--NCCL:ncclReduceScatter,DP
36228796964,36228828926,31962,0,31962,NCCL:ncclReduceScatter,563290,563290,1,0,8997,18.0,:18:8997,--NCCL:ncclReduceScatter,DP
36230555582,36230586923,31341,0,31341,NCCL:ncclReduceScatter,563290,563290,1,0,9009,18.0,:18:9009,--NCCL:ncclReduceScatter,DP
36232716968,36232748710,31742,0,31742,NCCL:ncclReduceScatter,563290,563290,1,0,9021,18.0,:18:9021,--NCCL:ncclReduceScatter,DP
36235969152,36236004641,35489,0,35489,NCCL:ncclReduceScatter,563290,563290,1,0,9038,18.0,:18:9038,--NCCL:ncclReduceScatter,DP
36238004676,36238043580,38904,0,38904,NCCL:ncclReduceScatter,563290,563290,1,0,9042,18.0,:18:9042,--NCCL:ncclReduceScatter,DP
36240059957,36240101958,42001,0,42001,NCCL:ncclReduceScatter,563290,563290,1,0,9052,18.0,:18:9052,--NCCL:ncclReduceScatter,DP
36241073695,36241079978,6283,0,6283,NCCL:ncclSend,563290,563290,1,0,9059,18.0,:18:9059,--NCCL:ncclSend,PP
43490913155,43490918755,5600,0,5600,NCCL:ncclRecv,563290,563290,1,0,9122,9119.0,:9119:9122,--NCCL:ncclRecv,PP
43491946912,43491989895,42983,0,42983,NCCL:ncclAllGather,563290,563290,1,0,9126,9119.0,:9119:9126,--NCCL:ncclAllGather,DP
43493190876,43493227967,37091,0,37091,NCCL:ncclAllGather,563290,563290,1,0,9127,9119.0,:9119:9127,--NCCL:ncclAllGather,DP
43507934473,43507973819,39346,0,39346,NCCL:ncclAllGather,563290,563290,1,0,9190,9119.0,:9119:9190,--NCCL:ncclAllGather,DP
43521701534,43521741130,39596,0,39596,NCCL:ncclAllGather,563290,563290,1,0,9249,9119.0,:9119:9249,--NCCL:ncclAllGather,DP
43535330298,43535369053,38755,0,38755,NCCL:ncclAllGather,563290,563290,1,0,9305,9119.0,:9119:9305,--NCCL:ncclAllGather,DP
43548958490,43548993678,35188,0,35188,NCCL:ncclAllGather,563290,563290,1,0,9363,9119.0,:9119:9363,--NCCL:ncclAllGather,DP
43562279499,43562316721,37222,0,37222,NCCL:ncclAllGather,563290,563290,1,0,9424,9119.0,:9119:9424,--NCCL:ncclAllGather,DP
43575852044,43575892633,40589,0,40589,NCCL:ncclAllGather,563290,563290,1,0,9484,9119.0,:9119:9484,--NCCL:ncclAllGather,DP
43589303165,43589341909,38744,0,38744,NCCL:ncclAllGather,563290,563290,1,0,9539,9119.0,:9119:9539,--NCCL:ncclAllGather,DP
43602437282,43602473522,36240,0,36240,NCCL:ncclAllGather,563290,563290,1,0,9594,9119.0,:9119:9594,--NCCL:ncclAllGather,DP
43615511655,43615550349,38694,0,38694,NCCL:ncclAllGather,563290,563290,1,0,9658,9119.0,:9119:9658,--NCCL:ncclAllGather,DP
43628573794,43628608791,34997,0,34997,NCCL:ncclAllGather,563290,563290,1,0,9718,9119.0,:9119:9718,--NCCL:ncclAllGather,DP
43641545417,43641583671,38254,0,38254,NCCL:ncclAllGather,563290,563290,1,0,9773,9119.0,:9119:9773,--NCCL:ncclAllGather,DP
43654879702,43654917756,38054,0,38054,NCCL:ncclAllGather,563290,563290,1,0,9828,9119.0,:9119:9828,--NCCL:ncclAllGather,DP
43668091069,43668125806,34737,0,34737,NCCL:ncclAllGather,563290,563290,1,0,9892,9119.0,:9119:9892,--NCCL:ncclAllGather,DP
43681147657,43681182965,35308,0,35308,NCCL:ncclAllGather,563290,563290,1,0,9942,9119.0,:9119:9942,--NCCL:ncclAllGather,DP
43694236468,43694275573,39105,0,39105,NCCL:ncclAllGather,563290,563290,1,0,9983,9119.0,:9119:9983,--NCCL:ncclAllGather,DP
47160238570,47160243550,4980,0,4980,NCCL:ncclSend,563290,563290,1,0,11163,9119.0,:9119:11163,--NCCL:ncclSend,PP
47160350136,47160355326,5190,0,5190,NCCL:ncclRecv,563290,563290,1,0,11170,9119.0,:9119:11170,--NCCL:ncclRecv,PP
49139081189,49139085166,3977,0,3977,NCCL:ncclSend,563290,563290,1,0,13155,9119.0,:9119:13155,--NCCL:ncclSend,PP
49139223964,49139225087,1123,0,1123,NCCL:ncclRecv,563290,563290,1,0,13177,9119.0,:9119:13177,--NCCL:ncclRecv,PP
51121264642,51121268971,4329,0,4329,NCCL:ncclSend,563290,563290,1,0,15144,9119.0,:9119:15144,--NCCL:ncclSend,PP
51121385606,51121386708,1102,0,1102,NCCL:ncclRecv,563290,563290,1,0,15161,9119.0,:9119:15161,--NCCL:ncclRecv,PP
53106169294,53106259679,90385,0,90385,NCCL:ncclReduceScatter,563290,563290,1,0,17129,9119.0,:9119:17129,--NCCL:ncclReduceScatter,DP
53108661620,53108704423,42803,0,42803,NCCL:ncclReduceScatter,563290,563290,1,0,17143,9119.0,:9119:17143,--NCCL:ncclReduceScatter,DP
53110979499,53111020638,41139,0,41139,NCCL:ncclReduceScatter,563290,563290,1,0,17160,9119.0,:9119:17160,--NCCL:ncclReduceScatter,DP
