Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
11549233947,12062876552,513642605,0,513642605,NCCL:ncclCommInitRankConfig,563292,563292,0,0,3,,:3,NCCL:ncclCommInitRankConfig
12072251326,12284120091,211868765,0,211868765,NCCL:ncclBroadcast,563292,563292,0,0,12,,:12,NCCL:ncclBroadcast
22178992888,36330638674,14151645786,1722358898,12429286888,:pp_fw_bw,563292,563292,0,1100,15,,:15,:pp_fw_bw
25148914730,25391002094,242087364,0,242087364,NCCL:ncclCommInitRankConfig,563292,563292,1,0,20,15.0,:15:20,--NCCL:ncclCommInitRankConfig
25391648883,25391649765,882,0,882,NCCL:ncclGroupStart,563292,563292,1,0,23,15.0,:15:23,--NCCL:ncclGroupStart
25391663532,25391682939,19407,0,19407,NCCL:ncclRecv,563292,563292,1,0,24,15.0,:15:24,--NCCL:ncclRecv
25391684913,25438969787,47284874,0,47284874,NCCL:ncclGroupEnd,563292,563292,1,0,25,15.0,:15:25,--NCCL:ncclGroupEnd
25460583890,25460586124,2234,0,2234,NCCL:ncclGroupStart,563292,563292,1,0,39,15.0,:15:39,--NCCL:ncclGroupStart
25460587527,25460596354,8827,0,8827,NCCL:ncclRecv,563292,563292,1,0,40,15.0,:15:40,--NCCL:ncclRecv
25460596945,25460640229,43284,0,43284,NCCL:ncclGroupEnd,563292,563292,1,0,41,15.0,:15:41,--NCCL:ncclGroupEnd
25522810385,25857550623,334740238,0,334740238,NCCL:ncclCommInitRankConfig,563292,563292,1,0,51,15.0,:15:51,--NCCL:ncclCommInitRankConfig
25857664182,25944980085,87315903,0,87315903,NCCL:ncclAllGather,563292,563292,1,0,55,15.0,:15:55,--NCCL:ncclAllGather
26127115359,26127170004,54645,0,54645,NCCL:ncclAllGather,563292,563292,1,0,65,15.0,:15:65,--NCCL:ncclAllGather
26263939561,26610680578,346741017,0,346741017,NCCL:ncclCommInitRankConfig,563292,563292,1,0,68,15.0,:15:68,--NCCL:ncclCommInitRankConfig
26615255307,26615258724,3417,0,3417,NCCL:ncclGroupStart,563292,563292,1,0,80,15.0,:15:80,--NCCL:ncclGroupStart
26615265096,26615302188,37092,0,37092,NCCL:ncclAllGather,563292,563292,1,0,81,15.0,:15:81,--NCCL:ncclAllGather
26615306696,26803836205,188529509,0,188529509,NCCL:ncclGroupEnd,563292,563292,1,0,82,15.0,:15:82,--NCCL:ncclGroupEnd
27151151731,27151160598,8867,0,8867,NCCL:ncclGroupStart,563292,563292,1,0,84,15.0,:15:84,--NCCL:ncclGroupStart
27151173123,27151179645,6522,0,6522,NCCL:ncclReduceScatter,563292,563292,1,0,87,15.0,:15:87,--NCCL:ncclReduceScatter
27151180357,27151225394,45037,0,45037,NCCL:ncclGroupEnd,563292,563292,1,0,89,15.0,:15:89,--NCCL:ncclGroupEnd
27153960579,27153961510,931,0,931,NCCL:ncclGroupStart,563292,563292,1,0,98,15.0,:15:98,--NCCL:ncclGroupStart
