window_type,wind_start_ns,wind_end_ns,wind_duration_ns,kernel_before_bytes,kernel_after_bytes
PP-DP,25511168560,25920838037,409669477,0,0
DP-PP,27395712153,27750762024,355049871,0,0
PP-DP,34214148020,36201416048,1987268028,0,0
DP-PP,36240101958,36241073695,971737,0,0
PP-DP,43490918755,43491946912,1028157,0,0
DP-PP,43694275573,47160238570,3465962997,0,0
PP-DP,51121386708,53106169294,1984782586,0,0
DP-PP,53141052967,53142040024,987057,0,0
PP-DP,59910002866,59910964144,961278,0,0
DP-PP,60106814037,63488619764,3381805727,0,0
PP-DP,67445938463,69429389937,1983451474,0,0
DP-PP,69459618475,69460664877,1046402,0,0
PP-DP,76204177346,76205241021,1063675,0,0
DP-PP,76398318267,79822751289,3424433022,0,0
PP-DP,83776983995,85787649843,2010665848,0,0
DP-PP,85814659361,85815669272,1009911,0,0
PP-DP,92512642007,92513834321,1192314,0,0
DP-PP,92673976058,96104185532,3430209474,0,0
PP-DP,100063320730,102046041953,1982721223,0,0
DP-PP,102071809662,102072564049,754387,0,0
PP-DP,108914509452,108915716594,1207142,0,0
DP-PP,109109532407,112411770222,3302237815,0,0
PP-DP,116376614102,118360475057,1983860955,0,0
DP-PP,118386967426,118387708527,741101,0,0
PP-DP,125388299997,125389297605,997608,0,0
DP-PP,125596940174,129016897278,3419957104,0,0
PP-DP,132973468432,134956530714,1983062282,0,0
DP-PP,134983211226,134983982727,771501,0,0
PP-DP,142074914212,142076073212,1159000,0,0
DP-PP,142275735632,145741733065,3465997433,0,0
PP-DP,149706956227,151687245381,1980289154,0,0
DP-PP,151728531755,151729697607,1165852,0,0
PP-DP,158693941636,158694826626,884990,0,0
DP-PP,158898608305,162349299203,3450690898,0,0
PP-DP,166310435548,168314268784,2003833236,0,0
DP-PP,168340611774,168341506914,895140,0,0
PP-DP,175101472334,175102866778,1394444,0,0
DP-PP,175322661748,178719277581,3396615833,0,0
PP-DP,182693982715,184681933061,1987950346,0,0
DP-PP,184705703571,184706499428,795857,0,0
PP-DP,191958652868,191959670214,1017346,0,0
DP-PP,192191859372,195537589905,3345730533,0,0
PP-DP,199510373786,201505446254,1995072468,0,0
DP-PP,201545013757,201545881764,868007,0,0
PP-DP,208614287044,208615427568,1140524,0,0
DP-PP,208851129884,212200057384,3348927500,0,0
PP-DP,216170691711,218161131017,1990439306,0,0
DP-PP,218189568965,218190576883,1007918,0,0
PP-DP,224966068733,224967310873,1242140,0,0
DP-PP,225153744922,228524162566,3370417644,0,0
PP-DP,232489151405,234515455319,2026303914,0,0
DP-PP,234545913700,234546726431,812731,0,0
PP-DP,241508942020,241510107502,1165482,0,0
DP-PP,241754325513,245235412863,3481087350,0,0
PP-DP,249230991989,251218068517,1987076528,0,0
DP-PP,251247363682,251248175210,811528,0,0
PP-DP,258553120254,258554229397,1109143,0,0
DP-PP,258734873249,262237704714,3502831465,0,0
PP-DP,266204987836,268218708536,2013720700,0,0
DP-PP,268248866688,268249518177,651489,0,0
PP-DP,275299123893,275300161407,1037514,0,0
DP-PP,275495800102,278991995043,3496194941,0,0
PP-DP,282979304511,285007026645,2027722134,0,0
DP-PP,285044926205,285045913643,987438,0,0
PP-DP,292007065547,292008079957,1014410,0,0
DP-PP,292234231409,295611297017,3377065608,0,0
PP-DP,299580383234,301567138802,1986755568,0,0
DP-PP,301595988435,301596774043,785608,0,0
PP-DP,308408998047,308410359328,1361281,0,0
DP-PP,308606780374,312058542382,3451762008,0,0
PP-DP,316035075878,318029046236,1993970358,0,0
DP-PP,318057478473,318058258441,779968,0,0
PP-DP,325178091229,325179050553,959324,0,0
DP-PP,325410523718,328804046966,3393523248,0,0
PP-DP,332791313620,334818340100,2027026480,0,0
DP-PP,334845861167,334846666252,805085,0,0
PP-DP,341768043824,341768988589,944765,0,0
DP-PP,341949641860,345422235147,3472593287,0,0
PP-DP,349395393452,351388076914,1992683462,0,0
DP-PP,351425600928,351426597925,996997,0,0
