iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	-86401534	-9823949	76577585	54534144	33554432
10	pp-dp	0	678909	678909	33554432	131338240
10	dp-pp	1283163659	2587777489	1304613830	54534144	33554432
10	pp-dp	2606558702	4594560982	1988002280	33554432	525352960
10	dp-pp	7288040413	7288044381	3968	218136576	33554432
10	pp-dp	7297273171	7297273171	0	33554432	4
10	dp-pp	10666704518	10792799571	126095053	4	4
10	pp-dp	10792808883	10808612257	15803374	4	131334144
11	dp-pp	12229750898	12310386769	80635871	54534144	33554432
11	pp-dp	12320374967	12321045176	670209	33554432	131338240
11	dp-pp	13605437310	14908271238	1302833928	54534144	33554432
11	pp-dp	14927721010	16915438150	1987717140	33554432	525352960
11	dp-pp	19737740395	19737740395	0	4	33554432
11	pp-dp	19748842396	21104259256	1355416860	33554432	525336576
11	dp-pp	23140792312	23245598743	104806431	4	4
11	pp-dp	23245608215	23261343429	15735214	4	131334144
12	dp-pp	24669199667	24766342490	97142823	54534144	33554432
12	pp-dp	24777550477	24778228714	678237	33554432	131338240
12	dp-pp	26021039157	27361089896	1340050739	54534144	33554432
12	pp-dp	27379022069	29368705884	1989683815	33554432	525352960
12	dp-pp	32168721009	32168721009	0	4	33554432
12	pp-dp	32180340024	33559027574	1378687550	33554432	525336576
12	dp-pp	35602756379	35684912496	82156117	4	4
12	pp-dp	35684921807	35700677693	15755886	4	131334144
13	dp-pp	37156966691	37202635574	45668883	54534144	33554432
13	pp-dp	37215704287	37216375100	670813	33554432	131338240
13	dp-pp	38476360677	39808487059	1332126382	54534144	33554432
13	pp-dp	39826877356	41811853843	1984976487	33554432	525352960
13	dp-pp	44470511924	44470511924	0	4	33554432
13	pp-dp	44481454880	45708057505	1226602625	33554432	525336576
13	dp-pp	47744810967	47852330067	107519100	4	4
13	pp-dp	47852339284	47868063393	15724109	4	131334144
14	dp-pp	49331841581	49377297757	45456176	54534144	33554432
14	pp-dp	49387440425	49387440425	0	33554432	131338240
14	dp-pp	50678252436	51982145759	1303893323	54534144	33554432
14	pp-dp	52000490645	53986769286	1986278641	33554432	525352960
14	dp-pp	56810628502	56810628502	0	4	33554432
14	pp-dp	56822147403	58044556144	1222408741	33554432	525336576
14	dp-pp	60100913963	60159705484	58791521	4	4
14	pp-dp	60159714764	60175572190	15857426	4	131334144
15	dp-pp	61563863619	61679023062	115159443	54534144	33554432
15	pp-dp	61689574240	61690119175	544935	33554432	131338240
15	dp-pp	62984083210	64290989164	1306905954	54534144	33554432
15	pp-dp	64308367313	66296653984	1988286671	33554432	525352960
15	dp-pp	68961703260	68961703260	0	4	33554432
15	pp-dp	68973526732	70285133128	1311606396	33554432	525336576
15	dp-pp	72383829550	72492433535	108603985	4	4
15	pp-dp	72492442879	72508248141	15805262	4	131334144
16	dp-pp	73916506826	74023844352	107337526	54534144	33554432
16	pp-dp	74034235927	74034754227	518300	33554432	131338240
16	dp-pp	75348218645	76653369050	1305150405	54534144	33554432
16	pp-dp	76671558672	78657959223	1986400551	33554432	525352960
16	dp-pp	81675734949	81675734949	0	4	33554432
16	pp-dp	81685554991	82910840126	1225285135	33554432	525336576
16	dp-pp	84941659262	85059928380	118269118	4	4
16	pp-dp	85059937788	85075586028	15648240	4	131334144
17	dp-pp	86467127601	86611421355	144293754	54534144	33554432
17	pp-dp	86621460272	86621460272	0	33554432	131338240
17	dp-pp	87923338403	89226848959	1303510556	54534144	33554432
17	pp-dp	89245519413	91234067300	1988547887	33554432	525352960
17	dp-pp	94255356855	94255356855	0	4	33554432
17	pp-dp	94266280559	95489390549	1223109990	33554432	525336576
17	dp-pp	97515634048	97564214788	48580740	4	4
17	pp-dp	97564224163	97579810899	15586736	4	131334144
18	dp-pp	98994178432	99093279997	99101565	54534144	33554432
18	pp-dp	99103154099	99103828528	674429	33554432	131338240
18	dp-pp	100412641101	101718731494	1306090393	54534144	33554432
18	pp-dp	101737763721	103726396891	1988633170	33554432	525352960
18	dp-pp	106304347661	106304351437	3776	218136576	33554432
18	pp-dp	106315410951	106315410951	0	33554432	4
18	dp-pp	109770636832	109795328289	24691457	4	4
18	pp-dp	109795337697	109810886801	15549104	4	131334144
19	dp-pp	111247161310	111292887731	45726421	54534144	33554432
19	pp-dp	111304805161	111305478278	673117	33554432	131338240
19	dp-pp	112634188672	113937272111	1303083439	54534144	33554432
19	pp-dp	113955425540	115945173202	1989747662	33554432	525352960
19	dp-pp	118667645868	118667645868	0	4	33554432
19	pp-dp	118678724172	119905065457	1226341285	33554432	525336576
19	dp-pp	121958128032	121958922780	794748	4	4
19	pp-dp	121958951611	121970680454	11728843	4	4
