iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
10	DP	6927252790146781	6927254188708356	1398561575	[0, 4]	1003880448	1003880448
10	PP	6927254265256648	6927254280285061	15028413	[0, 4, 8, 12]	33554432	33554432
10	DP	6927254280681852	6927255561769298	1281087446	[8, 12]	1003884544	1003884544
10	PP	6927256867214919	6927256881639299	14424380	[0, 4, 8, 12]	33554432	33554432
10	DP	6927258873164507	6927261566643938	2693479431	[8, 12]	4015538176	4015538176
10	PP	6927261566939784	6927261574113127	7173343	[0, 4, 8, 12]	33554432	33554432
10	DP	6927261577276114	6927261577351768	75654	[8, 12]	4	4
10	DP	6927262848250888	6927264929687802	2081436914	[0, 4]	4015521792	4015521792
10	DP	6927264941767387	6927264941848674	81287	[0, 4]	4	4
10	PP	6927265067932468	6927265069011219	1078751	[0, 4, 8, 12]	4	4
11	DP	6927265083747509	6927266504895241	1421147732	[0, 4]	1003880448	1003880448
11	PP	6927266585514701	6927266599188269	13673568	[0, 4, 8, 12]	33554432	33554432
11	DP	6927266599858478	6927267884393046	1284534568	[8, 12]	1003884544	1003884544
11	PP	6927269187084540	6927269202801607	15717067	[0, 4, 8, 12]	33554432	33554432
11	DP	6927271194251452	6927274016541025	2822289573	[8, 12]	4015538176	4015538176
11	PP	6927274016553697	6927274023922993	7369296	[0, 4, 8, 12]	33554432	33554432
11	DP	6927274027368856	6927274027430096	61240	[8, 12]	4	4
11	DP	6927275379944649	6927277404791558	2024846909	[0, 4]	4015521792	4015521792
11	DP	6927277415847629	6927277415901070	53441	[0, 4]	4	4
11	PP	6927277520694939	6927277521919376	1224437	[0, 4, 8, 12]	4	4
12	DP	6927277536424026	6927278944288095	1407864069	[0, 4]	1003880448	1003880448
12	PP	6927279041423087	6927279057818992	16395905	[0, 4, 8, 12]	33554432	33554432
12	DP	6927279058610592	6927280300250676	1241640084	[8, 12]	1003884544	1003884544
12	PP	6927281640009459	6927281654102666	14093207	[0, 4, 8, 12]	33554432	33554432
12	DP	6927283647625447	6927286447638333	2800012886	[8, 12]	4015538176	4015538176
12	PP	6927286447640572	6927286455420621	7780049	[0, 4, 8, 12]	33554432	33554432
12	DP	6927286458860244	6927286458929257	69013	[8, 12]	4	4
12	DP	6927287834698370	6927289866673642	2031975272	[0, 4]	4015521792	4015521792
12	DP	6927289877768524	6927289877848236	79712	[0, 4]	4	4
12	PP	6927289959993093	6927289961228538	1235445	[0, 4, 8, 12]	4	4
13	DP	6927289975758290	6927291432047288	1456288998	[0, 4]	1003880448	1003880448
13	PP	6927291477859284	6927291496111593	18252309	[0, 4, 8, 12]	33554432	33554432
13	DP	6927291496606244	6927292755286049	1258679805	[8, 12]	1003884544	1003884544
13	PP	6927294088894365	6927294102530277	13635912	[0, 4, 8, 12]	33554432	33554432
13	DP	6927296090707366	6927298749363207	2658655841	[8, 12]	4015538176	4015538176
13	PP	6927298749541001	6927298756535477	6994476	[0, 4, 8, 12]	33554432	33554432
13	DP	6927298759975517	6927298759985277	9760	[8, 12]	4	4
13	DP	6927299983710426	6927302008435685	2024725259	[0, 4]	4015521792	4015521792
13	DP	6927302019801742	6927302019891564	89822	[0, 4]	4	4
13	PP	6927302127410664	6927302128805930	1395266	[0, 4, 8, 12]	4	4
14	DP	6927302143143990	6927303606936080	1463792090	[0, 4]	1003880448	1003880448
14	PP	6927303652437672	6927303667395233	14957561	[0, 4, 8, 12]	33554432	33554432
