iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254188708356	6927254265256648	76548292	1003880448	67108864
10	pp-dp	6927254280285061	6927254280681852	396791	67108864	1003884544
10	dp-pp	6927255561769298	6927256867214919	1305445621	1003884544	67108864
10	pp-dp	6927256881639299	6927258873164507	1991525208	67108864	4015538176
10	dp-pp	6927261566643938	6927261566939784	295846	4015538176	67108864
10	pp-dp	6927261574113127	6927261577276114	3162987	67108864	4015521800
10	dp-pp	6927264941848674	6927265067932468	126083794	4015521800	8
10	pp-dp	6927265069011219	6927265083747509	14736290	8	1003880448
11	dp-pp	6927266504895241	6927266585514701	80619460	1003880448	67108864
11	pp-dp	6927266599188269	6927266599858478	670209	67108864	1003884544
11	dp-pp	6927267884393046	6927269187084540	1302691494	1003884544	67108864
11	pp-dp	6927269202801607	6927271194251452	1991449845	67108864	4015538176
11	dp-pp	6927274016541025	6927274016553697	12672	4015538176	67108864
11	pp-dp	6927274023922993	6927274027368856	3445863	67108864	4015521800
11	dp-pp	6927277415901070	6927277520694939	104793869	4015521800	8
11	pp-dp	6927277521919376	6927277536424026	14504650	8	1003880448
12	dp-pp	6927278944288095	6927279041423087	97134992	1003880448	67108864
12	pp-dp	6927279057818992	6927279058610592	791600	67108864	1003884544
12	dp-pp	6927280300250676	6927281640009459	1339758783	1003884544	67108864
12	pp-dp	6927281654102666	6927283647625447	1993522781	67108864	4015538176
12	dp-pp	6927286447638333	6927286447640572	2239	4015538176	67108864
12	pp-dp	6927286455420621	6927286458860244	3439623	67108864	4015521800
12	dp-pp	6927289877848236	6927289959993093	82144857	4015521800	8
12	pp-dp	6927289961228538	6927289975758290	14529752	8	1003880448
13	dp-pp	6927291432047288	6927291477859284	45811996	1003880448	67108864
13	pp-dp	6927291496111593	6927291496606244	494651	67108864	1003884544
13	dp-pp	6927292755286049	6927294088894365	1333608316	1003884544	67108864
13	pp-dp	6927294102530277	6927296090707366	1988177089	67108864	4015538176
13	dp-pp	6927298749363207	6927298749541001	177794	4015538176	67108864
13	pp-dp	6927298756535477	6927298759975517	3440040	67108864	4015521800
13	dp-pp	6927302019891564	6927302127410664	107519100	4015521800	8
13	pp-dp	6927302128805930	6927302143143990	14338060	8	1003880448
14	dp-pp	6927303606936080	6927303652437672	45501592	1003880448	67108864
14	pp-dp	6927303667395233	6927303668112683	717450	67108864	1003884544
14	dp-pp	6927304957489965	6927306261380474	1303890509	1003884544	67108864
14	pp-dp	6927306275937591	6927308266004001	1990066410	67108864	4015538176
14	dp-pp	6927311089851057	6927311089863217	12160	4015538176	67108864
14	pp-dp	6927311097228000	6927311100669543	3441543	67108864	4015521800
14	dp-pp	6927314376013434	6927314434859492	58846058	4015521800	8
14	pp-dp	6927314436293500	6927314450652787	14359287	8	1003880448
15	dp-pp	6927315839007213	6927315954103659	115096446	1003880448	67108864
15	pp-dp	6927315970392655	6927315970766881	374226	67108864	1003884544
15	dp-pp	6927317263353151	6927318570259105	1306905954	1003884544	67108864
15	pp-dp	6927318583899550	6927320575923925	1992024375	67108864	4015538176
