iteration	parallelism_type	circuit_start_ts	circuit_end_ts	circuit_duration_ns	circuit_ranks	group_first_kernel_bytes	group_last_kernel_bytes
10	DP	6927252790150100	6927254219349517	1429199417	[1, 5]	1003880448	1003880448
10	PP	6927254265247455	6927254280887625	15640170	[1, 5, 9, 13]	67108864	67108864
10	DP	6927254280713344	6927255552043473	1271330129	[9, 13]	1003884544	1003884544
10	PP	6927256868323200	6927256883265578	14942378	[1, 5, 9, 13]	67108864	67108864
10	DP	6927258873624077	6927261616710545	2743086468	[9, 13]	4015538176	4015538176
10	PP	6927261617563191	6927261623669643	6106452	[1, 5, 9, 13]	67108864	67108864
10	DP	6927261627104616	6927264953201920	3326097304	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
10	PP	6927265067937966	6927265070371080	2433114	[1, 5, 9, 13]	8	8
11	DP	6927265083552707	6927266533887708	1450335001	[1, 5]	1003880448	1003880448
11	PP	6927266585583817	6927266600604218	15020401	[1, 5, 9, 13]	67108864	67108864
11	DP	6927266601271097	6927267850413050	1249141953	[9, 13]	1003884544	1003884544
11	PP	6927269187848659	6927269201883016	14034357	[1, 5, 9, 13]	67108864	67108864
11	DP	6927271194970121	6927274150229225	2955259104	[9, 13]	4015538176	4015538176
11	PP	6927274150233225	6927274157094195	6860970	[1, 5, 9, 13]	67108864	67108864
11	DP	6927274160910125	6927277436971804	3276061679	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
11	PP	6927277520717686	6927277522630822	1913136	[1, 5, 9, 13]	8	8
12	DP	6927277536273699	6927278995934578	1459660879	[1, 5]	1003880448	1003880448
12	PP	6927279041473378	6927279055382813	13909435	[1, 5, 9, 13]	67108864	67108864
12	DP	6927279056063769	6927280334210164	1278146395	[9, 13]	1003884544	1003884544
12	PP	6927281639933319	6927281654376313	14442994	[1, 5, 9, 13]	67108864	67108864
12	DP	6927283647517468	6927286604919812	2957402344	[9, 13]	4015538176	4015538176
12	PP	6927286604931204	6927286610020288	5089084	[1, 5, 9, 13]	67108864	67108864
12	DP	6927286613465213	6927289935128242	3321663029	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
12	PP	6927289959995145	6927289961158354	1163209	[1, 5, 9, 13]	8	8
13	DP	6927289975536812	6927291408292946	1432756134	[1, 5]	1003880448	1003880448
13	PP	6927291477894703	6927291493531549	15636846	[1, 5, 9, 13]	67108864	67108864
13	DP	6927291494566448	6927292781772722	1287206274	[9, 13]	1003884544	1003884544
13	PP	6927294088918445	6927294104231415	15312970	[1, 5, 9, 13]	67108864	67108864
13	DP	6927296091195954	6927298588493278	2497297324	[9, 13]	4015538176	4015538176
13	PP	6927298588504990	6927298600195669	11690679	[1, 5, 9, 13]	67108864	67108864
13	DP	6927298603628402	6927302098862604	3495234202	[9, 13, 1, 5, 1, 5]	4015521800	4015521800
13	PP	6927302127412755	6927302129228779	1816024	[1, 5, 9, 13]	8	8
14	DP	6927302143101876	6927303595327526	1452225650	[1, 5]	1003880448	1003880448
14	PP	6927303652462055	6927303666198767	13736712	[1, 5, 9, 13]	67108864	67108864
14	DP	6927303666883583	6927304893425456	1226541873	[9, 13]	1003884544	1003884544
14	PP	6927306261632682	6927306275472925	13840243	[1, 5, 9, 13]	67108864	67108864
14	DP	6927308266232859	6927310969425704	2703192845	[9, 13]	4015538176	4015538176
