iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254214574679	6927254265304969	50730290	54534144	33554432
10	pp-dp	6927254279904320	6927254280092765	188445	33554432	131338240
10	dp-pp	6927255549891079	6927256867762065	1317870986	54534144	33554432
10	pp-dp	6927256881423966	6927258873415068	1991991102	33554432	525352960
10	dp-pp	6927261551895544	6927261552392823	497279	218136576	33554432
10	pp-dp	6927261560275688	6927261563222004	2946316	33554432	4
10	dp-pp	6927265067558892	6927265068355882	796990	4	4
10	pp-dp	6927265069873490	6927265111654610	41781120	4	131334144
11	dp-pp	6927266540042858	6927266585560532	45517674	54534144	33554432
11	pp-dp	6927266599753602	6927266600383015	629413	33554432	131338240
11	dp-pp	6927267851333856	6927269187128705	1335794849	54534144	33554432
11	pp-dp	6927269201413201	6927271194232312	1992819111	33554432	525352960
11	dp-pp	6927274019476791	6927274019533390	56599	218136576	33554432
11	pp-dp	6927274026979873	6927274030370582	3390709	33554432	4
11	dp-pp	6927277520315585	6927277521094623	779038	4	4
11	pp-dp	6927277522124077	6927277558596347	36472270	4	131334144
12	dp-pp	6927278942824963	6927279041530059	98705096	54534144	33554432
12	pp-dp	6927279054638741	6927279055313554	674813	33554432	131338240
12	dp-pp	6927280332854071	6927281639928910	1307074839	54534144	33554432
12	pp-dp	6927281654411147	6927283647503260	1993092113	33554432	525352960
12	dp-pp	6927286483550163	6927286483572281	22118	218136576	33554432
12	pp-dp	6927286490725006	6927286494146100	3421094	33554432	4
12	dp-pp	6927289959561991	6927289960434014	872023	4	4
12	pp-dp	6927289961467259	6927289998263165	36795906	4	131334144
13	dp-pp	6927291365572557	6927291477947026	112374469	54534144	33554432
13	pp-dp	6927291491848485	6927291493164966	1316481	33554432	131338240
13	dp-pp	6927292756699950	6927294088653091	1331953141	54534144	33554432
13	pp-dp	6927294103040155	6927296091191475	1988151320	33554432	525352960
13	dp-pp	6927298734180328	6927298734182599	2271	218136576	33554432
13	pp-dp	6927298739060524	6927298742764629	3704105	33554432	4
13	dp-pp	6927302127011595	6927302127789712	778117	4	4
13	pp-dp	6927302129295519	6927302172411268	43115749	4	131334144
14	dp-pp	6927303561243040	6927303652495967	91252927	54534144	33554432
14	pp-dp	6927303667308466	6927303667470032	161566	33554432	131338240
14	dp-pp	6927304924247768	6927306261050391	1336802623	54534144	33554432
14	pp-dp	6927306276037875	6927308265624955	1989587080	33554432	525352960
14	dp-pp	6927311080904676	6927311081416931	512255	218136576	33554432
14	pp-dp	6927311088354362	6927311091799975	3445613	33554432	4
14	dp-pp	6927314338688559	6927314434852964	96164405	4	4
14	pp-dp	6927314436431713	6927314450784920	14353207	4	131334144
15	dp-pp	6927315886913627	6927315954198114	67284487	54534144	33554432
15	pp-dp	6927315969030346	6927315969859528	829182	33554432	131338240
15	dp-pp	6927317220010880	6927318569905044	1349894164	54534144	33554432
15	pp-dp	6927318583978177	6927320575480171	1991501994	33554432	525352960
15	dp-pp	6927323327143428	6927323327145092	1664	218136576	33554432
15	pp-dp	6927323334491419	6927323337922695	3431276	33554432	4
15	dp-pp	6927326767126642	6927326767920192	793550	4	4
15	pp-dp	6927326768966861	6927326808815199	39848338	4	131334144
16	dp-pp	6927328253205299	6927328299056869	45851570	54534144	33554432
16	pp-dp	6927328312791862	6927328313926036	1134174	33554432	131338240
16	dp-pp	6927329574360340	6927330932830067	1358469727	54534144	33554432
16	pp-dp	6927330947050562	6927332937370948	1990320386	33554432	525352960
16	dp-pp	6927335821649455	6927335821653455	4000	218136576	33554432
16	pp-dp	6927335828430881	6927335832318126	3887245	33554432	4
16	dp-pp	6927339227001695	6927339335338282	108336587	4	4
16	pp-dp	6927339337000422	6927339351082859	14082437	4	131334144
17	dp-pp	6927340792450247	6927340886556802	94106555	54534144	33554432
17	pp-dp	6927340899518060	6927340900009517	491457	33554432	131338240
17	dp-pp	6927342158637782	6927343505544867	1346907085	54534144	33554432
17	pp-dp	6927343519936065	6927345512689669	1992753604	33554432	525352960
17	dp-pp	6927348383829166	6927348384016489	187323	218136576	33554432
17	pp-dp	6927348391241663	6927348394494575	3252912	33554432	4
17	dp-pp	6927351788725839	6927351839656293	50930454	4	4
17	pp-dp	6927351840974851	6927351855373161	14398310	4	131334144
18	dp-pp	6927353296579256	6927353368467159	71887903	54534144	33554432
18	pp-dp	6927353383299710	6927353384219031	919321	33554432	131338240
18	dp-pp	6927354646775042	6927355998209555	1351434513	54534144	33554432
18	pp-dp	6927356012807456	6927358005813678	1993006222	33554432	525352960
18	dp-pp	6927360764199702	6927360764213590	13888	218136576	33554432
18	pp-dp	6927360769191417	6927360772687395	3495978	33554432	4
18	dp-pp	6927364018782403	6927364070409785	51627382	4	4
18	pp-dp	6927364072019638	6927364086012294	13992656	4	131334144
19	dp-pp	6927365519747663	6927365568628171	48880508	54534144	33554432
19	pp-dp	6927365582154558	6927365582300751	146193	33554432	131338240
19	dp-pp	6927366859641917	6927368216184154	1356542237	54534144	33554432
19	pp-dp	6927368230139774	6927370224024698	1993884924	33554432	525352960
19	dp-pp	6927372947825048	6927372948354083	529035	218136576	33554432
19	pp-dp	6927372956158324	6927372959063669	2905345	33554432	4
19	dp-pp	6927376189344815	6927376233716151	44371336	4	4
19	pp-dp	6927376235314100	6927376248177744	12863644	4	4
