iteration	window_type	wind_start_ts	wind_end_ts	wind_duration_ns	kernel_before_bytes	kernel_after_bytes
10	dp-pp	6927254188679063	6927254265256648	76577585	54534144	33554432
10	pp-dp	6927261571902989	6927262848095497	1276192508	33554432	525336576
10	dp-pp	6927264941785115	6927265067880168	126095053	4	4
10	pp-dp	6927265067889480	6927265083692854	15803374	4	131334144
11	dp-pp	6927266504831495	6927266585467366	80635871	54534144	33554432
11	pp-dp	6927274023922993	6927275378705828	1354782835	33554432	525336576
11	dp-pp	6927277415872909	6927277520679340	104806431	4	4
11	pp-dp	6927277520688812	6927277536424026	15735214	4	131334144
12	dp-pp	6927278944280264	6927279041423087	97142823	54534144	33554432
12	pp-dp	6927286455420621	6927287833663741	1378243120	33554432	525336576
12	dp-pp	6927289877836976	6927289959993093	82156117	4	4
12	pp-dp	6927289960002404	6927289975758290	15755886	4	131334144
13	dp-pp	6927291432047288	6927291477716171	45668883	54534144	33554432
13	pp-dp	6927298756535477	6927299980732115	1224196638	33554432	525336576
13	dp-pp	6927302019891564	6927302127410664	107519100	4	4
13	pp-dp	6927302127419881	6927302143143990	15724109	4	131334144
14	dp-pp	6927303606922178	6927303652378354	45456176	54534144	33554432
14	pp-dp	6927311097228000	6927312319401916	1222173916	33554432	525336576
14	dp-pp	6927314375994560	6927314434786081	58791521	4	4
14	pp-dp	6927314434795361	6927314450652787	15857426	4	131334144
15	dp-pp	6927315838944216	6927315954103659	115159443	54534144	33554432
15	pp-dp	6927323248607329	6927324560213725	1311606396	33554432	525336576
15	dp-pp	6927326658910147	6927326767514132	108603985	4	4
15	pp-dp	6927326767523476	6927326783328738	15805262	4	131334144
16	dp-pp	6927328191587423	6927328298924949	107337526	54534144	33554432
16	pp-dp	6927335960635588	6927337185420985	1224785397	33554432	525336576
16	dp-pp	6927339216739859	6927339335008977	118269118	4	4
16	pp-dp	6927339335018385	6927339350666625	15648240	4	131334144
17	dp-pp	6927340742208198	6927340886501952	144293754	54534144	33554432
17	pp-dp	6927348541361156	6927349763419128	1222057972	33554432	525336576
17	dp-pp	6927351790714645	6927351839295385	48580740	4	4
17	pp-dp	6927351839304760	6927351854891496	15586736	4	131334144
18	dp-pp	6927353269259029	6927353368360594	99101565	54534144	33554432
18	pp-dp	6927360589427463	6927361995107715	1405680252	33554432	525336576
18	dp-pp	6927364045717429	6927364070408886	24691457	4	4
18	pp-dp	6927364070418294	6927364085967398	15549104	4	131334144
19	dp-pp	6927365522241907	6927365567968328	45726421	54534144	33554432
19	pp-dp	6927372953804769	6927374180146054	1226341285	33554432	525336576
19	dp-pp	6927376233208629	6927376234003377	794748	4	4
19	pp-dp	6927376234032208	6927376249202978	15170770	4	4
